,t##Other##,B##length##inches,D##length##inches,d##length##inches
800S125-54,54,8,1.25,0.188
800S125-68,68,8,1.25,0.188
250S137-33,33,2.5,1.37,0.375
250S137-43,43,2.5,1.37,0.375
250S137-54,54,2.5,1.37,0.375
250S137-68,68,2.5,1.37,0.375
250S162-33,33,2.5,1.62,0.5
250S162-43,43,2.5,1.62,0.5
250S162-54,54,2.5,1.62,0.5
250S162-68,68,2.5,1.62,0.5
350S162-33,33,3.5,1.62,0.5
350S162-43,43,3.5,1.62,0.5
350S162-54,54,3.5,1.62,0.5
350S162-68,68,3.5,1.62,0.5
362S137-33,33,3.62,1.37,0.375
362S137-43,43,3.62,1.37,0.375
362S137-54,54,3.62,1.37,0.375
362S137-68,68,3.62,1.37,0.375
362S162-33,33,3.62,1.62,0.5
362S162-43,43,3.62,1.62,0.5
362S162-54,54,3.62,1.62,0.5
362S162-68,68,3.62,1.62,0.5
362S200-33,33,3.62,2,0.625
362S200-43,43,3.62,2,0.625
362S200-54,54,3.62,2,0.625
362S200-68,68,3.62,2,0.625
400S137-33,33,4,1.37,0.375
400S137-43,43,4,1.37,0.375
400S137-54,54,4,1.37,0.375
400S137-68,68,4,1.37,0.375
400S162-33,33,4,1.62,0.5
400S162-43,43,4,1.62,0.5
400S162-54,54,4,1.62,0.5
400S162-68,68,4,1.62,0.5
400S200-33,33,4,2,0.625
400S200-43,43,4,2,0.625
400S200-54,54,4,2,0.625
400S200-68,68,4,2,0.625
550S162-33,33,5.5,1.62,0.5
550S162-43,43,5.5,1.62,0.5
550S162-54,54,5.5,1.62,0.5
550S162-68,68,5.5,1.62,0.5
600S137-33,33,6,1.37,0.375
600S137-43,43,6,1.37,0.375
600S137-54,54,6,1.37,0.375
600S137-68,68,6,1.37,0.375
600S137-97,97,6,1.37,0.375
600S162-33,33,6,1.62,0.5
600S162-43,43,6,1.62,0.5
600S162-54,54,6,1.62,0.5
600S162-68,68,6,1.62,0.5
600S162-97,97,6,1.62,0.5
600S200-33,33,6,2,0.625
600S200-43,43,6,2,0.625
600S200-54,54,6,2,0.625
600S200-68,68,6,2,0.625
600S200-97,97,6,2,0.625
600S250-43,43,6,2.5,0.625
600S250-54,54,6,2.5,0.625
600S250-68,68,6,2.5,0.625
600S250-97,97,6,2.5,0.625
