,t##Other##,D##length##inches,B##length##inches
RC2 11/16,20,0.75,2.6875
RC3 13/16,20,1.0,3.8125
RC3 7/16,20,1.375,3.4375
RC4 3/16,20,1.25,4.1875
RC6 3/16,20,1.5,6.1875
RC8 3/16,20,1.75,8.1875
075U50-54,54,0.50,0.75  
150U50-54,54,0.50,1.50
200U50-54,54,0.50,2.00
250U50-54,54,0.50,2.50
           

