,Width##LENGTH##INCHES,Depth##LENGTH##INCHES,Type Comments##OTHER##
48"" x 30"",48,30,48"" x 30"" Round End Work Surface
60"" x 30"",60,30,60"" x 30"" Round End Work Surface
66"" x 30"",66,30,66"" x 30"" Round End Work Surface
72"" x 30"",72,30,72"" x 30"" Round End Work Surface
48"" x 36"",48,36,48"" x 36"" Round End Work Surface
60"" x 36"",60,36,60"" x 36"" Round End Work Surface
66"" x 36"",66,36,66"" x 36"" Round End Work Surface
72"" x 36"",72,36,72"" x 36"" Round End Work Surface
