,Legs##other##,Space##length##inches,W##other##,A##area##inches,d##length##inches,b##length##inches,t##length##inches,y##length##inches
2L5X5X3/8X3/4,Equal,0.75,24.8,7.30,5.00,5,0.375,1.37
2L5X5X5/16,Equal,0,20.9,6.13,5.00,5,0.3125,1.35
2L5X5X5/16X3/8,Equal,0.375,20.9,6.13,5.00,5,0.3125,1.35
2L5X5X5/16X3/4,Equal,0.75,20.9,6.13,5.00,5,0.3125,1.35
2L4X4X3/4,Equal,0,37.0,10.9,4.00,4,0.75,1.27
2L4X4X3/4X3/8,Equal,0.375,37.0,10.9,4.00,4,0.75,1.27
2L4X4X3/4X3/4,Equal,0.75,37.0,10.9,4.00,4,0.75,1.27
2L4X4X5/8,Equal,0,31.3,9.21,4.00,4,0.625,1.22
2L4X4X5/8X3/8,Equal,0.375,31.3,9.21,4.00,4,0.625,1.22
2L4X4X5/8X3/4,Equal,0.75,31.3,9.21,4.00,4,0.625,1.22
2L4X4X1/2,Equal,0,25.5,7.49,4.00,4,0.5,1.18
2L4X4X1/2X3/8,Equal,0.375,25.5,7.49,4.00,4,0.5,1.18
2L4X4X1/2X3/4,Equal,0.75,25.5,7.49,4.00,4,0.5,1.18
2L4X4X7/16,Equal,0,22.5,6.61,4.00,4,0.4375,1.15
2L4X4X7/16X3/8,Equal,0.375,22.5,6.61,4.00,4,0.4375,1.15
2L4X4X7/16X3/4,Equal,0.75,22.5,6.61,4.00,4,0.4375,1.15
2L4X4X3/8,Equal,0,19.4,5.71,4.00,4,0.375,1.13
2L4X4X3/8X3/8,Equal,0.375,19.4,5.71,4.00,4,0.375,1.13
2L4X4X3/8X3/4,Equal,0.75,19.4,5.71,4.00,4,0.375,1.13
2L4X4X5/16,Equal,0,16.3,4.80,4.00,4,0.3125,1.11
2L4X4X5/16X3/8,Equal,0.375,16.3,4.80,4.00,4,0.3125,1.11
2L4X4X5/16X3/4,Equal,0.75,16.3,4.80,4.00,4,0.3125,1.11
2L4X4X1/4,Equal,0,13.2,3.87,4.00,4,0.25,1.08
2L4X4X1/4X3/8,Equal,0.375,13.2,3.87,4.00,4,0.25,1.08
2L4X4X1/4X3/4,Equal,0.75,13.2,3.87,4.00,4,0.25,1.08
2L3-1/2X3-1/2X1/2,Equal,0,22.2,6.53,3.50,3.5,0.5,1.05
2L3-1/2X3-1/2X1/2X3/8,Equal,0.375,22.2,6.53,3.50,3.5,0.5,1.05
2L3-1/2X3-1/2X1/2X3/4,Equal,0.75,22.2,6.53,3.50,3.5,0.5,1.05
2L3-1/2X3-1/2X7/16,Equal,0,19.6,5.77,3.50,3.5,0.4375,1.03
2L3-1/2X3-1/2X7/16X3/8,Equal,0.375,19.6,5.77,3.50,3.5,0.4375,1.03
2L3-1/2X3-1/2X7/16X3/4,Equal,0.75,19.6,5.77,3.50,3.5,0.4375,1.03
2L3-1/2X3-1/2X3/8,Equal,0,17.0,5.00,3.50,3.5,0.375,1.00
2L3-1/2X3-1/2X3/8X3/8,Equal,0.375,17.0,5.00,3.50,3.5,0.375,1.00
2L3-1/2X3-1/2X3/8X3/4,Equal,0.75,17.0,5.00,3.50,3.5,0.375,1.00
2L3-1/2X3-1/2X5/16,Equal,0,14.3,4.21,3.50,3.5,0.3125,0.979
2L3-1/2X3-1/2X5/16X3/8,Equal,0.375,14.3,4.21,3.50,3.5,0.3125,0.979
2L3-1/2X3-1/2X5/16X3/4,Equal,0.75,14.3,4.21,3.50,3.5,0.3125,0.979
2L3-1/2X3-1/2X1/4,Equal,0,11.6,3.41,3.50,3.5,0.25,0.954
2L3-1/2X3-1/2X1/4X3/8,Equal,0.375,11.6,3.41,3.50,3.5,0.25,0.954
2L3-1/2X3-1/2X1/4X3/4,Equal,0.75,11.6,3.41,3.50,3.5,0.25,0.954
2L3X3X1/2,Equal,0,18.7,5.50,3.00,3,0.5,0.929
2L3X3X1/2X3/8,Equal,0.375,18.7,5.50,3.00,3,0.5,0.929
2L3X3X1/2X3/4,Equal,0.75,18.7,5.50,3.00,3,0.5,0.929
2L3X3X7/16,Equal,0,16.6,4.86,3.00,3,0.4375,0.907
2L3X3X7/16X3/8,Equal,0.375,16.6,4.86,3.00,3,0.4375,0.907
2L3X3X7/16X3/4,Equal,0.75,16.6,4.86,3.00,3,0.4375,0.907
2L3X3X3/8,Equal,0,14.3,4.22,3.00,3,0.375,0.884
2L3X3X3/8X3/8,Equal,0.375,14.3,4.22,3.00,3,0.375,0.884
2L3X3X3/8X3/4,Equal,0.75,14.3,4.22,3.00,3,0.375,0.884
2L3X3X5/16,Equal,0,12.1,3.55,3.00,3,0.3125,0.860
2L3X3X5/16X3/8,Equal,0.375,12.1,3.55,3.00,3,0.3125,0.860
2L3X3X5/16X3/4,Equal,0.75,12.1,3.55,3.00,3,0.3125,0.860
2L3X3X1/4,Equal,0,9.77,2.87,3.00,3,0.25,0.836
2L3X3X1/4X3/8,Equal,0.375,9.77,2.87,3.00,3,0.25,0.836
2L3X3X1/4X3/4,Equal,0.75,9.77,2.87,3.00,3,0.25,0.836
2L3X3X3/16,Equal,0,7.41,2.18,3.00,3,0.1875,0.812
2L3X3X3/16X3/8,Equal,0.375,7.41,2.18,3.00,3,0.1875,0.812
2L3X3X3/16X3/4,Equal,0.75,7.41,2.18,3.00,3,0.1875,0.812
2L2-1/2X2-1/2X1/2,Equal,0,15.3,4.50,2.50,2.5,0.5,0.803
2L2-1/2X2-1/2X1/2X3/8,Equal,0.375,15.3,4.50,2.50,2.5,0.5,0.803
2L2-1/2X2-1/2X1/2X3/4,Equal,0.75,15.3,4.50,2.50,2.5,0.5,0.803
2L2-1/2X2-1/2X3/8,Equal,0,11.8,3.47,2.50,2.5,0.375,0.758
2L2-1/2X2-1/2X3/8X3/8,Equal,0.375,11.8,3.47,2.50,2.5,0.375,0.758
2L2-1/2X2-1/2X3/8X3/4,Equal,0.75,11.8,3.47,2.50,2.5,0.375,0.758
2L2-1/2X2-1/2X5/16,Equal,0,10.0,2.93,2.50,2.5,0.3125,0.735
2L2-1/2X2-1/2X5/16X3/8,Equal,0.375,10.0,2.93,2.50,2.5,0.3125,0.735
2L2-1/2X2-1/2X5/16X3/4,Equal,0.75,10.0,2.93,2.50,2.5,0.3125,0.735
2L2-1/2X2-1/2X1/4,Equal,0,8.07,2.37,2.50,2.5,0.25,0.711
2L2-1/2X2-1/2X1/4X3/8,Equal,0.375,8.07,2.37,2.50,2.5,0.25,0.711
2L2-1/2X2-1/2X1/4X3/4,Equal,0.75,8.07,2.37,2.50,2.5,0.25,0.711
2L2-1/2X2-1/2X3/16,Equal,0,6.13,1.80,2.50,2.5,0.1875,0.687
2L2-1/2X2-1/2X3/16X3/8,Equal,0.375,6.13,1.80,2.50,2.5,0.1875,0.687
2L2-1/2X2-1/2X3/16X3/4,Equal,0.75,6.13,1.80,2.50,2.5,0.1875,0.687
2L2X2X3/8,Equal,0,9.30,2.73,2.00,2,0.375,0.632
2L2X2X3/8X3/8,Equal,0.375,9.30,2.73,2.00,2,0.375,0.632
2L2X2X3/8X3/4,Equal,0.75,9.30,2.73,2.00,2,0.375,0.632
2L2X2X5/16,Equal,0,7.89,2.32,2.00,2,0.3125,0.609
2L2X2X5/16X3/8,Equal,0.375,7.89,2.32,2.00,2,0.3125,0.609
2L2X2X5/16X3/4,Equal,0.75,7.89,2.32,2.00,2,0.3125,0.609
2L2X2X1/4,Equal,0,6.43,1.89,2.00,2,0.25,0.586
2L2X2X1/4X3/8,Equal,0.375,6.43,1.89,2.00,2,0.25,0.586
2L2X2X1/4X3/4,Equal,0.75,6.43,1.89,2.00,2,0.25,0.586
2L2X2X3/16,Equal,0,4.91,1.44,2.00,2,0.1875,0.561
2L2X2X3/16X3/8,Equal,0.375,4.91,1.44,2.00,2,0.1875,0.561
2L2X2X3/16X3/4,Equal,0.75,4.91,1.44,2.00,2,0.1875,0.561
2L2X2X1/8,Equal,0,3.34,0.982,2.00,2,0.125,0.534
2L2X2X1/8X3/8,Equal,0.375,3.34,0.982,2.00,2,0.125,0.534
2L2X2X1/8X3/4,Equal,0.75,3.34,0.982,2.00,2,0.125,0.534
2L8X6X1LLBB,LLBB,0,88.8,26.1,8.00,6,1,2.65
2L8X6X1X3/8LLBB,LLBB,0.375,88.8,26.1,8.00,6,1,2.65
2L8X6X1X3/4LLBB,LLBB,0.75,88.8,26.1,8.00,6,1,2.65
2L8X6X7/8LLBB,LLBB,0,78.5,23.1,8.00,6,0.875,2.60
2L8X6X7/8X3/8LLBB,LLBB,0.375,78.5,23.1,8.00,6,0.875,2.60
2L8X6X7/8X3/4LLBB,LLBB,0.75,78.5,23.1,8.00,6,0.875,2.60
2L8X6X3/4LLBB,LLBB,0,68.0,20.0,8.00,6,0.75,2.55
2L8X6X3/4X3/8LLBB,LLBB,0.375,68.0,20.0,8.00,6,0.75,2.55
2L8X6X3/4X3/4LLBB,LLBB,0.75,68.0,20.0,8.00,6,0.75,2.55
2L8X6X5/8LLBB,LLBB,0,57.3,16.8,8.00,6,0.625,2.50
2L8X6X5/8X3/8LLBB,LLBB,0.375,57.3,16.8,8.00,6,0.625,2.50
2L8X6X5/8X3/4LLBB,LLBB,0.75,57.3,16.8,8.00,6,0.625,2.50
2L8X6X9/16LLBB,LLBB,0,51.8,15.2,8.00,6,0.5625,2.48
2L8X6X9/16X3/8LLBB,LLBB,0.375,51.8,15.2,8.00,6,0.5625,2.48
2L8X6X9/16X3/4LLBB,LLBB,0.75,51.8,15.2,8.00,6,0.5625,2.48
2L8X6X1/2LLBB,LLBB,0,46.3,13.6,8.00,6,0.5,2.46
2L8X6X1/2X3/8LLBB,LLBB,0.375,46.3,13.6,8.00,6,0.5,2.46
2L8X6X1/2X3/4LLBB,LLBB,0.75,46.3,13.6,8.00,6,0.5,2.46
2L8X6X7/16LLBB,LLBB,0,40.7,12.0,8.00,6,0.4375,2.43
2L8X6X7/16X3/8LLBB,LLBB,0.375,40.7,12.0,8.00,6,0.4375,2.43
2L8X6X7/16X3/4LLBB,LLBB,0.75,40.7,12.0,8.00,6,0.4375,2.43
2L8X4X1LLBB,LLBB,0,75.2,22.1,8.00,4,1,3.03
2L8X4X1X3/8LLBB,LLBB,0.375,75.2,22.1,8.00,4,1,3.03
2L8X4X1X3/4LLBB,LLBB,0.75,75.2,22.1,8.00,4,1,3.03
2L8X4X7/8LLBB,LLBB,0,66.6,19.6,8.00,4,0.875,2.99
2L8X4X7/8X3/8LLBB,LLBB,0.375,66.6,19.6,8.00,4,0.875,2.99
2L8X4X7/8X3/4LLBB,LLBB,0.75,66.6,19.6,8.00,4,0.875,2.99
2L8X4X3/4LLBB,LLBB,0,57.8,17.0,8.00,4,0.75,2.94
2L8X4X3/4X3/8LLBB,LLBB,0.375,57.8,17.0,8.00,4,0.75,2.94
2L8X4X3/4X3/4LLBB,LLBB,0.75,57.8,17.0,8.00,4,0.75,2.94
2L8X4X5/8LLBB,LLBB,0,48.7,14.3,8.00,4,0.625,2.89
2L8X4X5/8X3/8LLBB,LLBB,0.375,48.7,14.3,8.00,4,0.625,2.89
2L8X4X5/8X3/4LLBB,LLBB,0.75,48.7,14.3,8.00,4,0.625,2.89
2L8X4X9/16LLBB,LLBB,0,44.1,13.0,8.00,4,0.5625,2.86
2L8X4X9/16X3/8LLBB,LLBB,0.375,44.1,13.0,8.00,4,0.5625,2.86
2L8X4X9/16X3/4LLBB,LLBB,0.75,44.1,13.0,8.00,4,0.5625,2.86
2L8X4X1/2LLBB,LLBB,0,39.5,11.6,8.00,4,0.5,2.84
2L8X4X1/2X3/8LLBB,LLBB,0.375,39.5,11.6,8.00,4,0.5,2.84
2L8X4X1/2X3/4LLBB,LLBB,0.75,39.5,11.6,8.00,4,0.5,2.84
2L8X4X7/16LLBB,LLBB,0,34.8,10.2,8.00,4,0.4375,2.81
2L8X4X7/16X3/8LLBB,LLBB,0.375,34.8,10.2,8.00,4,0.4375,2.81
2L8X4X7/16X3/4LLBB,LLBB,0.75,34.8,10.2,8.00,4,0.4375,2.81
2L7X4X3/4LLBB,LLBB,0,52.4,15.4,7.00,4,0.75,2.50
2L7X4X3/4X3/8LLBB,LLBB,0.375,52.4,15.4,7.00,4,0.75,2.50
2L7X4X3/4X3/4LLBB,LLBB,0.75,52.4,15.4,7.00,4,0.75,2.50
2L7X4X5/8LLBB,LLBB,0,44.2,13.0,7.00,4,0.625,2.45
2L7X4X5/8X3/8LLBB,LLBB,0.375,44.2,13.0,7.00,4,0.625,2.45
2L7X4X5/8X3/4LLBB,LLBB,0.75,44.2,13.0,7.00,4,0.625,2.45
2L7X4X1/2LLBB,LLBB,0,35.8,10.5,7.00,4,0.5,2.40
2L7X4X1/2X3/8LLBB,LLBB,0.375,35.8,10.5,7.00,4,0.5,2.40
2L7X4X1/2X3/4LLBB,LLBB,0.75,35.8,10.5,7.00,4,0.5,2.40
2L7X4X7/16LLBB,LLBB,0,31.5,9.27,7.00,4,0.4375,2.38
2L7X4X7/16X3/8LLBB,LLBB,0.375,31.5,9.27,7.00,4,0.4375,2.38
2L7X4X7/16X3/4LLBB,LLBB,0.75,31.5,9.27,7.00,4,0.4375,2.38
