,Legs##other##,Space##length##inches,W##other##,A##area##inches,d##length##inches,b##length##inches,t##length##inches,y##length##inches
2L4X3X1/2X3/8LLBB,LLBB,0.375,22.1,6.51,4.00,3,0.5,1.32
2L4X3X1/2X3/4LLBB,LLBB,0.75,22.1,6.51,4.00,3,0.5,1.32
2L4X3X3/8LLBB,LLBB,0,16.9,4.98,4.00,3,0.375,1.27
2L4X3X3/8X3/8LLBB,LLBB,0.375,16.9,4.98,4.00,3,0.375,1.27
2L4X3X3/8X3/4LLBB,LLBB,0.75,16.9,4.98,4.00,3,0.375,1.27
2L4X3X5/16LLBB,LLBB,0,14.2,4.19,4.00,3,0.3125,1.25
2L4X3X5/16X3/8LLBB,LLBB,0.375,14.2,4.19,4.00,3,0.3125,1.25
2L4X3X5/16X3/4LLBB,LLBB,0.75,14.2,4.19,4.00,3,0.3125,1.25
2L4X3X1/4LLBB,LLBB,0,11.5,3.38,4.00,3,0.25,1.22
2L4X3X1/4X3/8LLBB,LLBB,0.375,11.5,3.38,4.00,3,0.25,1.22
2L4X3X1/4X3/4LLBB,LLBB,0.75,11.5,3.38,4.00,3,0.25,1.22
2L3-1/2X3X1/2LLBB,LLBB,0,20.6,6.04,3.50,3,0.5,1.12
2L3-1/2X3X1/2X3/8LLBB,LLBB,0.375,20.6,6.04,3.50,3,0.5,1.12
2L3-1/2X3X1/2X3/4LLBB,LLBB,0.75,20.6,6.04,3.50,3,0.5,1.12
2L3-1/2X3X7/16LLBB,LLBB,0,18.2,5.34,3.50,3,0.4375,1.09
2L3-1/2X3X7/16X3/8LLBB,LLBB,0.375,18.2,5.34,3.50,3,0.4375,1.09
2L3-1/2X3X7/16X3/4LLBB,LLBB,0.75,18.2,5.34,3.50,3,0.4375,1.09
2L3-1/2X3X3/8LLBB,LLBB,0,15.8,4.63,3.50,3,0.375,1.07
2L3-1/2X3X3/8X3/8LLBB,LLBB,0.375,15.8,4.63,3.50,3,0.375,1.07
2L3-1/2X3X3/8X3/4LLBB,LLBB,0.75,15.8,4.63,3.50,3,0.375,1.07
2L3-1/2X3X5/16LLBB,LLBB,0,13.3,3.91,3.50,3,0.3125,1.05
2L3-1/2X3X5/16X3/8LLBB,LLBB,0.375,13.3,3.91,3.50,3,0.3125,1.05
2L3-1/2X3X5/16X3/4LLBB,LLBB,0.75,13.3,3.91,3.50,3,0.3125,1.05
2L3-1/2X3X1/4LLBB,LLBB,0,10.8,3.16,3.50,3,0.25,1.02
2L3-1/2X3X1/4X3/8LLBB,LLBB,0.375,10.8,3.16,3.50,3,0.25,1.02
2L3-1/2X3X1/4X3/4LLBB,LLBB,0.75,10.8,3.16,3.50,3,0.25,1.02
2L3-1/2X2-1/2X1/2LLBB,LLBB,0,18.8,5.53,3.50,2.5,0.5,1.20
2L3-1/2X2-1/2X1/2X3/8LLBB,LLBB,0.375,18.8,5.53,3.50,2.5,0.5,1.20
2L3-1/2X2-1/2X1/2X3/4LLBB,LLBB,0.75,18.8,5.53,3.50,2.5,0.5,1.20
2L3-1/2X2-1/2X3/8LLBB,LLBB,0,14.5,4.25,3.50,2.5,0.375,1.15
2L3-1/2X2-1/2X3/8X3/8LLBB,LLBB,0.375,14.5,4.25,3.50,2.5,0.375,1.15
2L3-1/2X2-1/2X3/8X3/4LLBB,LLBB,0.75,14.5,4.25,3.50,2.5,0.375,1.15
2L3-1/2X2-1/2X5/16LLBB,LLBB,0,12.2,3.58,3.50,2.5,0.3125,1.13
2L3-1/2X2-1/2X5/16X3/8LLBB,LLBB,0.375,12.2,3.58,3.50,2.5,0.3125,1.13
2L3-1/2X2-1/2X5/16X3/4LLBB,LLBB,0.75,12.2,3.58,3.50,2.5,0.3125,1.13
2L3-1/2X2-1/2X1/4LLBB,LLBB,0,9.88,2.90,3.50,2.5,0.25,1.10
2L3-1/2X2-1/2X1/4X3/8LLBB,LLBB,0.375,9.88,2.90,3.50,2.5,0.25,1.10
2L3-1/2X2-1/2X1/4X3/4LLBB,LLBB,0.75,9.88,2.90,3.50,2.5,0.25,1.10
2L3X2-1/2X1/2LLBB,LLBB,0,17.1,5.01,3.00,2.5,0.5,0.995
2L3X2-1/2X1/2X3/8LLBB,LLBB,0.375,17.1,5.01,3.00,2.5,0.5,0.995
2L3X2-1/2X1/2X3/4LLBB,LLBB,0.75,17.1,5.01,3.00,2.5,0.5,0.995
2L3X2-1/2X7/16LLBB,LLBB,0,15.1,4.44,3.00,2.5,0.4375,0.972
2L3X2-1/2X7/16X3/8LLBB,LLBB,0.375,15.1,4.44,3.00,2.5,0.4375,0.972
2L3X2-1/2X7/16X3/4LLBB,LLBB,0.75,15.1,4.44,3.00,2.5,0.4375,0.972
2L3X2-1/2X3/8LLBB,LLBB,0,13.1,3.86,3.00,2.5,0.375,0.949
2L3X2-1/2X3/8X3/8LLBB,LLBB,0.375,13.1,3.86,3.00,2.5,0.375,0.949
2L3X2-1/2X3/8X3/4LLBB,LLBB,0.75,13.1,3.86,3.00,2.5,0.375,0.949
2L3X2-1/2X5/16LLBB,LLBB,0,11.1,3.25,3.00,2.5,0.3125,0.925
2L3X2-1/2X5/16X3/8LLBB,LLBB,0.375,11.1,3.25,3.00,2.5,0.3125,0.925
2L3X2-1/2X5/16X3/4LLBB,LLBB,0.75,11.1,3.25,3.00,2.5,0.3125,0.925
2L3X2-1/2X1/4LLBB,LLBB,0,8.97,2.64,3.00,2.5,0.25,0.900
2L3X2-1/2X1/4X3/8LLBB,LLBB,0.375,8.97,2.64,3.00,2.5,0.25,0.900
2L3X2-1/2X1/4X3/4LLBB,LLBB,0.75,8.97,2.64,3.00,2.5,0.25,0.900
2L3X2-1/2X3/16LLBB,LLBB,0,6.82,2.00,3.00,2.5,0.1875,0.874
2L3X2-1/2X3/16X3/8LLBB,LLBB,0.375,6.82,2.00,3.00,2.5,0.1875,0.874
2L3X2-1/2X3/16X3/4LLBB,LLBB,0.75,6.82,2.00,3.00,2.5,0.1875,0.874
2L3X2X1/2LLBB,LLBB,0,15.4,4.53,3.00,2,0.5,1.08
2L3X2X1/2X3/8LLBB,LLBB,0.375,15.4,4.53,3.00,2,0.5,1.08
2L3X2X1/2X3/4LLBB,LLBB,0.75,15.4,4.53,3.00,2,0.5,1.08
2L3X2X3/8LLBB,LLBB,0,11.9,3.50,3.00,2,0.375,1.03
2L3X2X3/8X3/8LLBB,LLBB,0.375,11.9,3.50,3.00,2,0.375,1.03
2L3X2X3/8X3/4LLBB,LLBB,0.75,11.9,3.50,3.00,2,0.375,1.03
2L3X2X5/16LLBB,LLBB,0,10.1,2.96,3.00,2,0.3125,1.01
2L3X2X5/16X3/8LLBB,LLBB,0.375,10.1,2.96,3.00,2,0.3125,1.01
2L3X2X5/16X3/4LLBB,LLBB,0.75,10.1,2.96,3.00,2,0.3125,1.01
2L3X2X1/4LLBB,LLBB,0,8.18,2.40,3.00,2,0.25,0.980
2L3X2X1/4X3/8LLBB,LLBB,0.375,8.18,2.40,3.00,2,0.25,0.980
2L3X2X1/4X3/4LLBB,LLBB,0.75,8.18,2.40,3.00,2,0.25,0.980
2L3X2X3/16LLBB,LLBB,0,6.24,1.83,3.00,2,0.1875,0.952
2L3X2X3/16X3/8LLBB,LLBB,0.375,6.24,1.83,3.00,2,0.1875,0.952
2L3X2X3/16X3/4LLBB,LLBB,0.75,6.24,1.83,3.00,2,0.1875,0.952
2L2-1/2X2X3/8LLBB,LLBB,0,10.6,3.11,2.50,2,0.375,0.826
2L2-1/2X2X3/8X3/8LLBB,LLBB,0.375,10.6,3.11,2.50,2,0.375,0.826
2L2-1/2X2X3/8X3/4LLBB,LLBB,0.75,10.6,3.11,2.50,2,0.375,0.826
2L2-1/2X2X5/16LLBB,LLBB,0,8.97,2.64,2.50,2,0.3125,0.803
2L2-1/2X2X5/16X3/8LLBB,LLBB,0.375,8.97,2.64,2.50,2,0.3125,0.803
2L2-1/2X2X5/16X3/4LLBB,LLBB,0.75,8.97,2.64,2.50,2,0.3125,0.803
2L2-1/2X2X1/4LLBB,LLBB,0,7.30,2.14,2.50,2,0.25,0.779
2L2-1/2X2X1/4X3/8LLBB,LLBB,0.375,7.30,2.14,2.50,2,0.25,0.779
2L2-1/2X2X1/4X3/4LLBB,LLBB,0.75,7.30,2.14,2.50,2,0.25,0.779
2L2-1/2X2X3/16LLBB,LLBB,0,5.57,1.64,2.50,2,0.1875,0.754
2L2-1/2X2X3/16X3/8LLBB,LLBB,0.375,5.57,1.64,2.50,2,0.1875,0.754
2L2-1/2X2X3/16X3/4LLBB,LLBB,0.75,5.57,1.64,2.50,2,0.1875,0.754
2L8X6X1SLBB,SLBB,0,88.8,26.1,6.00,8,1,1.65
2L8X6X1X3/8SLBB,SLBB,0.375,88.8,26.1,6.00,8,1,1.65
2L8X6X1X3/4SLBB,SLBB,0.75,88.8,26.1,6.00,8,1,1.65
2L8X6X7/8SLBB,SLBB,0,78.5,23.1,6.00,8,0.875,1.60
2L8X6X7/8X3/8SLBB,SLBB,0.375,78.5,23.1,6.00,8,0.875,1.60
2L8X6X7/8X3/4SLBB,SLBB,0.75,78.5,23.1,6.00,8,0.875,1.60
2L8X6X3/4SLBB,SLBB,0,68.0,20.0,6.00,8,0.75,1.56
2L8X6X3/4X3/8SLBB,SLBB,0.375,68.0,20.0,6.00,8,0.75,1.56
2L8X6X3/4X3/4SLBB,SLBB,0.75,68.0,20.0,6.00,8,0.75,1.56
2L8X6X5/8SLBB,SLBB,0,57.3,16.8,6.00,8,0.625,1.51
2L8X6X5/8X3/8SLBB,SLBB,0.375,57.3,16.8,6.00,8,0.625,1.51
2L8X6X5/8X3/4SLBB,SLBB,0.75,57.3,16.8,6.00,8,0.625,1.51
2L8X6X9/16SLBB,SLBB,0,51.8,15.2,6.00,8,0.5625,1.49
2L8X6X9/16X3/8SLBB,SLBB,0.375,51.8,15.2,6.00,8,0.5625,1.49
2L8X6X9/16X3/4SLBB,SLBB,0.75,51.8,15.2,6.00,8,0.5625,1.49
2L8X6X1/2SLBB,SLBB,0,46.3,13.6,6.00,8,0.5,1.46
2L8X6X1/2X3/8SLBB,SLBB,0.375,46.3,13.6,6.00,8,0.5,1.46
2L8X6X1/2X3/4SLBB,SLBB,0.75,46.3,13.6,6.00,8,0.5,1.46
2L8X6X7/16SLBB,SLBB,0,40.7,12.0,6.00,8,0.4375,1.44
2L8X6X7/16X3/8SLBB,SLBB,0.375,40.7,12.0,6.00,8,0.4375,1.44
2L8X6X7/16X3/4SLBB,SLBB,0.75,40.7,12.0,6.00,8,0.4375,1.44
2L8X4X1SLBB,SLBB,0,75.2,22.1,4.00,8,1,1.04
2L8X4X1X3/8SLBB,SLBB,0.375,75.2,22.1,4.00,8,1,1.04
2L8X4X1X3/4SLBB,SLBB,0.75,75.2,22.1,4.00,8,1,1.04
2L8X4X7/8SLBB,SLBB,0,66.6,19.6,4.00,8,0.875,0.997
2L8X4X7/8X3/8SLBB,SLBB,0.375,66.6,19.6,4.00,8,0.875,0.997
2L8X4X7/8X3/4SLBB,SLBB,0.75,66.6,19.6,4.00,8,0.875,0.997
2L8X4X3/4SLBB,SLBB,0,57.8,17.0,4.00,8,0.75,0.949
2L8X4X3/4X3/8SLBB,SLBB,0.375,57.8,17.0,4.00,8,0.75,0.949
2L8X4X3/4X3/4SLBB,SLBB,0.75,57.8,17.0,4.00,8,0.75,0.949
2L8X4X5/8SLBB,SLBB,0,48.7,14.3,4.00,8,0.625,0.902
2L8X4X5/8X3/8SLBB,SLBB,0.375,48.7,14.3,4.00,8,0.625,0.902
2L8X4X5/8X3/4SLBB,SLBB,0.75,48.7,14.3,4.00,8,0.625,0.902
2L8X4X9/16SLBB,SLBB,0,44.1,13.0,4.00,8,0.5625,0.878
2L8X4X9/16X3/8SLBB,SLBB,0.375,44.1,13.0,4.00,8,0.5625,0.878
2L8X4X9/16X3/4SLBB,SLBB,0.75,44.1,13.0,4.00,8,0.5625,0.878
2L8X4X1/2SLBB,SLBB,0,39.5,11.6,4.00,8,0.5,0.854
2L8X4X1/2X3/8SLBB,SLBB,0.375,39.5,11.6,4.00,8,0.5,0.854
2L8X4X1/2X3/4SLBB,SLBB,0.75,39.5,11.6,4.00,8,0.5,0.854
2L8X4X7/16SLBB,SLBB,0,34.8,10.2,4.00,8,0.4375,0.829
2L8X4X7/16X3/8SLBB,SLBB,0.375,34.8,10.2,4.00,8,0.4375,0.829
2L8X4X7/16X3/4SLBB,SLBB,0.75,34.8,10.2,4.00,8,0.4375,0.829
2L7X4X3/4SLBB,SLBB,0,52.4,15.4,4.00,7,0.75,1.00
2L7X4X3/4X3/8SLBB,SLBB,0.375,52.4,15.4,4.00,7,0.75,1.00
2L7X4X3/4X3/4SLBB,SLBB,0.75,52.4,15.4,4.00,7,0.75,1.00
2L7X4X5/8SLBB,SLBB,0,44.2,13.0,4.00,7,0.625,0.958
2L7X4X5/8X3/8SLBB,SLBB,0.375,44.2,13.0,4.00,7,0.625,0.958
2L7X4X5/8X3/4SLBB,SLBB,0.75,44.2,13.0,4.00,7,0.625,0.958
2L7X4X1/2SLBB,SLBB,0,35.8,10.5,4.00,7,0.5,0.910
2L7X4X1/2X3/8SLBB,SLBB,0.375,35.8,10.5,4.00,7,0.5,0.910
2L7X4X1/2X3/4SLBB,SLBB,0.75,35.8,10.5,4.00,7,0.5,0.910
2L7X4X7/16SLBB,SLBB,0,31.5,9.27,4.00,7,0.4375,0.886
2L7X4X7/16X3/8SLBB,SLBB,0.375,31.5,9.27,4.00,7,0.4375,0.886
2L7X4X7/16X3/4SLBB,SLBB,0.75,31.5,9.27,4.00,7,0.4375,0.886
2L7X4X3/8SLBB,SLBB,0,27.2,8.00,4.00,7,0.375,0.861
2L7X4X3/8X3/8SLBB,SLBB,0.375,27.2,8.00,4.00,7,0.375,0.861
2L7X4X3/8X3/4SLBB,SLBB,0.75,27.2,8.00,4.00,7,0.375,0.861
2L6X4X7/8SLBB,SLBB,0,54.3,16.0,4.00,6,0.875,1.12
2L6X4X7/8X3/8SLBB,SLBB,0.375,54.3,16.0,4.00,6,0.875,1.12
2L6X4X7/8X3/4SLBB,SLBB,0.75,54.3,16.0,4.00,6,0.875,1.12
2L6X4X3/4SLBB,SLBB,0,47.2,13.9,4.00,6,0.75,1.07
2L6X4X3/4X3/8SLBB,SLBB,0.375,47.2,13.9,4.00,6,0.75,1.07
2L6X4X3/4X3/4SLBB,SLBB,0.75,47.2,13.9,4.00,6,0.75,1.07
2L6X4X5/8SLBB,SLBB,0,39.9,11.7,4.00,6,0.625,1.03
2L6X4X5/8X3/8SLBB,SLBB,0.375,39.9,11.7,4.00,6,0.625,1.03
2L6X4X5/8X3/4SLBB,SLBB,0.75,39.9,11.7,4.00,6,0.625,1.03
2L6X4X9/16SLBB,SLBB,0,36.1,10.6,4.00,6,0.5625,1.00
2L6X4X9/16X3/8SLBB,SLBB,0.375,36.1,10.6,4.00,6,0.5625,1.00
2L6X4X9/16X3/4SLBB,SLBB,0.75,36.1,10.6,4.00,6,0.5625,1.00
2L6X4X1/2SLBB,SLBB,0,32.3,9.50,4.00,6,0.5,0.981
2L6X4X1/2X3/8SLBB,SLBB,0.375,32.3,9.50,4.00,6,0.5,0.981
2L6X4X1/2X3/4SLBB,SLBB,0.75,32.3,9.50,4.00,6,0.5,0.981
2L6X4X7/16SLBB,SLBB,0,28.5,8.36,4.00,6,0.4375,0.957
2L6X4X7/16X3/8SLBB,SLBB,0.375,28.5,8.36,4.00,6,0.4375,0.957
2L6X4X7/16X3/4SLBB,SLBB,0.75,28.5,8.36,4.00,6,0.4375,0.957
2L6X4X3/8SLBB,SLBB,0,24.6,7.22,4.00,6,0.375,0.933
2L6X4X3/8X3/8SLBB,SLBB,0.375,24.6,7.22,4.00,6,0.375,0.933
2L6X4X3/8X3/4SLBB,SLBB,0.75,24.6,7.22,4.00,6,0.375,0.933
2L6X4X5/16SLBB,SLBB,0,20.6,6.05,4.00,6,0.3125,0.908
2L6X4X5/16X3/8SLBB,SLBB,0.375,20.6,6.05,4.00,6,0.3125,0.908
2L6X4X5/16X3/4SLBB,SLBB,0.75,20.6,6.05,4.00,6,0.3125,0.908
2L6X3-1/2X1/2SLBB,SLBB,0,30.7,9.04,3.50,6,0.5,0.829
2L6X3-1/2X1/2X3/8SLBB,SLBB,0.375,30.7,9.04,3.50,6,0.5,0.829
2L6X3-1/2X1/2X3/4SLBB,SLBB,0.75,30.7,9.04,3.50,6,0.5,0.829
2L6X3-1/2X3/8SLBB,SLBB,0,23.4,6.88,3.50,6,0.375,0.781
2L6X3-1/2X3/8X3/8SLBB,SLBB,0.375,23.4,6.88,3.50,6,0.375,0.781
2L6X3-1/2X3/8X3/4SLBB,SLBB,0.75,23.4,6.88,3.50,6,0.375,0.781
2L6X3-1/2X5/16SLBB,SLBB,0,19.7,5.78,3.50,6,0.3125,0.756
2L6X3-1/2X5/16X3/8SLBB,SLBB,0.375,19.7,5.78,3.50,6,0.3125,0.756
2L6X3-1/2X5/16X3/4SLBB,SLBB,0.75,19.7,5.78,3.50,6,0.3125,0.756
2L5X3-1/2X3/4SLBB,SLBB,0,39.6,11.6,3.50,5,0.75,0.993
2L5X3-1/2X3/4X3/8SLBB,SLBB,0.375,39.6,11.6,3.50,5,0.75,0.993
2L5X3-1/2X3/4X3/4SLBB,SLBB,0.75,39.6,11.6,3.50,5,0.75,0.993
2L5X3-1/2X5/8SLBB,SLBB,0,33.5,9.85,3.50,5,0.625,0.947
2L5X3-1/2X5/8X3/8SLBB,SLBB,0.375,33.5,9.85,3.50,5,0.625,0.947
2L5X3-1/2X5/8X3/4SLBB,SLBB,0.75,33.5,9.85,3.50,5,0.625,0.947
2L5X3-1/2X1/2SLBB,SLBB,0,27.2,8.01,3.50,5,0.5,0.901
2L5X3-1/2X1/2X3/8SLBB,SLBB,0.375,27.2,8.01,3.50,5,0.5,0.901
2L5X3-1/2X1/2X3/4SLBB,SLBB,0.75,27.2,8.01,3.50,5,0.5,0.901
2L5X3-1/2X3/8SLBB,SLBB,0,20.8,6.10,3.50,5,0.375,0.854
2L5X3-1/2X3/8X3/8SLBB,SLBB,0.375,20.8,6.10,3.50,5,0.375,0.854
2L5X3-1/2X3/8X3/4SLBB,SLBB,0.75,20.8,6.10,3.50,5,0.375,0.854
2L5X3-1/2X5/16SLBB,SLBB,0,17.4,5.12,3.50,5,0.3125,0.829
2L5X3-1/2X5/16X3/8SLBB,SLBB,0.375,17.4,5.12,3.50,5,0.3125,0.829
2L5X3-1/2X5/16X3/4SLBB,SLBB,0.75,17.4,5.12,3.50,5,0.3125,0.829
2L5X3-1/2X1/4SLBB,SLBB,0,14.1,4.13,3.50,5,0.25,0.804
2L5X3-1/2X1/4X3/8SLBB,SLBB,0.375,14.1,4.13,3.50,5,0.25,0.804
2L5X3-1/2X1/4X3/4SLBB,SLBB,0.75,14.1,4.13,3.50,5,0.25,0.804
2L5X3X1/2SLBB,SLBB,0,25.5,7.51,3.00,5,0.5,0.746
2L5X3X1/2X3/8SLBB,SLBB,0.375,25.5,7.51,3.00,5,0.5,0.746
2L5X3X1/2X3/4SLBB,SLBB,0.75,25.5,7.51,3.00,5,0.5,0.746
2L5X3X7/16SLBB,SLBB,0,22.5,6.62,3.00,5,0.4375,0.722
2L5X3X7/16X3/8SLBB,SLBB,0.375,22.5,6.62,3.00,5,0.4375,0.722
2L5X3X7/16X3/4SLBB,SLBB,0.75,22.5,6.62,3.00,5,0.4375,0.722
2L5X3X3/8SLBB,SLBB,0,19.5,5.73,3.00,5,0.375,0.698
2L5X3X3/8X3/8SLBB,SLBB,0.375,19.5,5.73,3.00,5,0.375,0.698
2L5X3X3/8X3/4SLBB,SLBB,0.75,19.5,5.73,3.00,5,0.375,0.698
2L5X3X5/16SLBB,SLBB,0,16.4,4.81,3.00,5,0.3125,0.673
2L5X3X5/16X3/8SLBB,SLBB,0.375,16.4,4.81,3.00,5,0.3125,0.673
2L5X3X5/16X3/4SLBB,SLBB,0.75,16.4,4.81,3.00,5,0.3125,0.673
2L5X3X1/4SLBB,SLBB,0,13.2,3.88,3.00,5,0.25,0.648
2L5X3X1/4X3/8SLBB,SLBB,0.375,13.2,3.88,3.00,5,0.25,0.648
2L5X3X1/4X3/4SLBB,SLBB,0.75,13.2,3.88,3.00,5,0.25,0.648
2L4X3-1/2X1/2SLBB,SLBB,0,23.8,7.01,3.50,4,0.5,0.994
2L4X3-1/2X1/2X3/8SLBB,SLBB,0.375,23.8,7.01,3.50,4,0.5,0.994
2L4X3-1/2X1/2X3/4SLBB,SLBB,0.75,23.8,7.01,3.50,4,0.5,0.994
2L4X3-1/2X3/8SLBB,SLBB,0,18.2,5.35,3.50,4,0.375,0.947
2L4X3-1/2X3/8X3/8SLBB,SLBB,0.375,18.2,5.35,3.50,4,0.375,0.947
2L4X3-1/2X3/8X3/4SLBB,SLBB,0.75,18.2,5.35,3.50,4,0.375,0.947
2L4X3-1/2X5/16SLBB,SLBB,0,15.3,4.50,3.50,4,0.3125,0.923
2L4X3-1/2X5/16X3/8SLBB,SLBB,0.375,15.3,4.50,3.50,4,0.3125,0.923
2L4X3-1/2X5/16X3/4SLBB,SLBB,0.75,15.3,4.50,3.50,4,0.3125,0.923
2L4X3-1/2X1/4SLBB,SLBB,0,12.4,3.63,3.50,4,0.25,0.897
2L4X3-1/2X1/4X3/8SLBB,SLBB,0.375,12.4,3.63,3.50,4,0.25,0.897
2L4X3-1/2X1/4X3/4SLBB,SLBB,0.75,12.4,3.63,3.50,4,0.25,0.897
2L4X3X5/8SLBB,SLBB,0,27.1,7.98,3.00,4,0.625,0.867
2L4X3X5/8X3/8SLBB,SLBB,0.375,27.1,7.98,3.00,4,0.625,0.867
2L4X3X5/8X3/4SLBB,SLBB,0.75,27.1,7.98,3.00,4,0.625,0.867
2L4X3X1/2SLBB,SLBB,0,22.1,6.51,3.00,4,0.5,0.822
2L4X3X1/2X3/8SLBB,SLBB,0.375,22.1,6.51,3.00,4,0.5,0.822
2L4X3X1/2X3/4SLBB,SLBB,0.75,22.1,6.51,3.00,4,0.5,0.822
2L4X3X3/8SLBB,SLBB,0,16.9,4.98,3.00,4,0.375,0.775
2L4X3X3/8X3/8SLBB,SLBB,0.375,16.9,4.98,3.00,4,0.375,0.775
2L4X3X3/8X3/4SLBB,SLBB,0.75,16.9,4.98,3.00,4,0.375,0.775
2L4X3X5/16SLBB,SLBB,0,14.2,4.19,3.00,4,0.3125,0.750
2L4X3X5/16X3/8SLBB,SLBB,0.375,14.2,4.19,3.00,4,0.3125,0.750
2L4X3X5/16X3/4SLBB,SLBB,0.75,14.2,4.19,3.00,4,0.3125,0.750
2L4X3X1/4SLBB,SLBB,0,11.5,3.38,3.00,4,0.25,0.725
2L4X3X1/4X3/8SLBB,SLBB,0.375,11.5,3.38,3.00,4,0.25,0.725
2L4X3X1/4X3/4SLBB,SLBB,0.75,11.5,3.38,3.00,4,0.25,0.725
2L3-1/2X3X1/2SLBB,SLBB,0,20.6,6.04,3.00,3.5,0.5,0.869
2L3-1/2X3X1/2X3/8SLBB,SLBB,0.375,20.6,6.04,3.00,3.5,0.5,0.869
2L3-1/2X3X1/2X3/4SLBB,SLBB,0.75,20.6,6.04,3.00,3.5,0.5,0.869
2L3-1/2X3X7/16SLBB,SLBB,0,18.2,5.34,3.00,3.5,0.4375,0.846
2L3-1/2X3X7/16X3/8SLBB,SLBB,0.375,18.2,5.34,3.00,3.5,0.4375,0.846
2L3-1/2X3X7/16X3/4SLBB,SLBB,0.75,18.2,5.34,3.00,3.5,0.4375,0.846
2L3-1/2X3X3/8SLBB,SLBB,0,15.8,4.63,3.00,3.5,0.375,0.823
2L3-1/2X3X3/8X3/8SLBB,SLBB,0.375,15.8,4.63,3.00,3.5,0.375,0.823
2L3-1/2X3X3/8X3/4SLBB,SLBB,0.75,15.8,4.63,3.00,3.5,0.375,0.823
2L3-1/2X3X5/16SLBB,SLBB,0,13.3,3.91,3.00,3.5,0.3125,0.798
2L3-1/2X3X5/16X3/8SLBB,SLBB,0.375,13.3,3.91,3.00,3.5,0.3125,0.798
2L3-1/2X3X5/16X3/4SLBB,SLBB,0.75,13.3,3.91,3.00,3.5,0.3125,0.798
2L3-1/2X3X1/4SLBB,SLBB,0,10.8,3.16,3.00,3.5,0.25,0.773
2L3-1/2X3X1/4X3/8SLBB,SLBB,0.375,10.8,3.16,3.00,3.5,0.25,0.773
2L3-1/2X3X1/4X3/4SLBB,SLBB,0.75,10.8,3.16,3.00,3.5,0.25,0.773
2L3-1/2X2-1/2X1/2SLBB,SLBB,0,18.8,5.53,2.50,3.5,0.5,0.701
2L3-1/2X2-1/2X1/2X3/8SLBB,SLBB,0.375,18.8,5.53,2.50,3.5,0.5,0.701
2L3-1/2X2-1/2X1/2X3/4SLBB,SLBB,0.75,18.8,5.53,2.50,3.5,0.5,0.701
2L3-1/2X2-1/2X3/8SLBB,SLBB,0,14.5,4.25,2.50,3.5,0.375,0.655
2L3-1/2X2-1/2X3/8X3/8SLBB,SLBB,0.375,14.5,4.25,2.50,3.5,0.375,0.655
2L3-1/2X2-1/2X3/8X3/4SLBB,SLBB,0.75,14.5,4.25,2.50,3.5,0.375,0.655
2L3-1/2X2-1/2X5/16SLBB,SLBB,0,12.2,3.58,2.50,3.5,0.3125,0.632
2L3-1/2X2-1/2X5/16X3/8SLBB,SLBB,0.375,12.2,3.58,2.50,3.5,0.3125,0.632
2L3-1/2X2-1/2X5/16X3/4SLBB,SLBB,0.75,12.2,3.58,2.50,3.5,0.3125,0.632
2L3-1/2X2-1/2X1/4SLBB,SLBB,0,9.88,2.90,2.50,3.5,0.25,0.607
2L3-1/2X2-1/2X1/4X3/8SLBB,SLBB,0.375,9.88,2.90,2.50,3.5,0.25,0.607
2L3-1/2X2-1/2X1/4X3/4SLBB,SLBB,0.75,9.88,2.90,2.50,3.5,0.25,0.607
2L3X2-1/2X1/2SLBB,SLBB,0,17.1,5.01,2.50,3,0.5,0.746
2L3X2-1/2X1/2X3/8SLBB,SLBB,0.375,17.1,5.01,2.50,3,0.5,0.746
2L3X2-1/21/2X3/4SLBB,SLBB,0.75,17.1,5.01,2.50,3,0.5,0.746
2L3X2-1/2X7/16SLBB,SLBB,0,15.1,4.44,2.50,3,0.4375,0.724
2L3X2-1/2X7/16X3/8SLBB,SLBB,0.375,15.1,4.44,2.50,3,0.4375,0.724
2L3X2-1/2X7/16X3/4SLBB,SLBB,0.75,15.1,4.44,2.50,3,0.4375,0.724
2L3X2-1/2X3/8SLBB,SLBB,0,13.1,3.86,2.50,3,0.375,0.701
2L3X2-1/2X3/8X3/8SLBB,SLBB,0.375,13.1,3.86,2.50,3,0.375,0.701
2L3X2-1/2X3/8X3/4SLBB,SLBB,0.75,13.1,3.86,2.50,3,0.375,0.701
2L3X2-1/2X5/16SLBB,SLBB,0,11.1,3.25,2.50,3,0.3125,0.677
2L3X2-1/2X5/16X3/8SLBB,SLBB,0.375,11.1,3.25,2.50,3,0.3125,0.677
2L3X2-1/2X5/16X3/4SLBB,SLBB,0.75,11.1,3.25,2.50,3,0.3125,0.677
2L3X2-1/2X1/4SLBB,SLBB,0,8.97,2.64,2.50,3,0.25,0.653
2L3X2-1/2X1/4X3/8SLBB,SLBB,0.375,8.97,2.64,2.50,3,0.25,0.653
2L3X2-1/2X1/4X3/4SLBB,SLBB,0.75,8.97,2.64,2.50,3,0.25,0.653
2L3X2-1/2X3/16SLBB,SLBB,0,6.82,2.00,2.50,3,0.1875,0.627
2L3X2-1/2X3/16X3/8SLBB,SLBB,0.375,6.82,2.00,2.50,3,0.1875,0.627
2L3X2-1/2X3/16X3/4SLBB,SLBB,0.75,6.82,2.00,2.50,3,0.1875,0.627
