,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
WT13.5X64.5,64.5,18.9,13.8,10.0,0.610,1.10,2.000
WT13.5X57,57.0,16.8,13.6,10.1,0.570,0.930,1.8125
WT13.5X51,51.0,15.0,13.5,10.0,0.515,0.830,1.750
WT13.5X47,47.0,13.8,13.5,10.0,0.490,0.745,1.625
WT13.5X42,42.0,12.4,13.4,10.0,0.460,0.640,1.5625
WT12X185,185,54.4,14.0,13.7,1.52,2.72,3.625
WT12X167.5,168,49.2,13.8,13.5,1.38,2.48,3.375
WT12X153,153,44.9,13.6,13.4,1.26,2.28,3.1875
WT12X139.5,140,41.0,13.4,13.3,1.16,2.09,3.000
WT12X125,125,36.8,13.2,13.2,1.04,1.89,2.8125
WT12X114.5,114,33.6,13.0,13.1,0.960,1.73,2.625
WT12X103.5,103,30.4,12.9,13.0,0.870,1.57,2.500
WT12X96,96.0,28.1,12.7,13.0,0.810,1.46,2.375
WT12X88,88.0,25.8,12.6,12.9,0.750,1.34,2.250
WT12X81,81.0,23.9,12.5,13.0,0.705,1.22,2.125
WT12X73,73.0,21.5,12.4,12.9,0.650,1.09,2.000
WT12X65.5,65.5,19.3,12.2,12.9,0.605,0.960,1.875
WT12X58.5,58.5,17.2,12.1,12.8,0.550,0.850,1.750
WT12X52,52.0,15.3,12.0,12.8,0.500,0.750,1.625
WT12X51.5,51.5,15.1,12.3,9.00,0.550,0.980,1.875
WT12X47,47.0,13.8,12.2,9.07,0.515,0.875,1.750
WT12X42,42.0,12.4,12.1,9.02,0.470,0.770,1.6875
WT12X38,38.0,11.2,12.0,8.99,0.440,0.680,1.5625
WT12X34,34.0,10.0,11.9,8.97,0.415,0.585,1.500
WT12X31,31.0,9.11,11.9,7.04,0.430,0.590,1.500
WT12X27.5,27.5,8.10,11.8,7.01,0.395,0.505,1.4375
WT10.5X100.5,100,29.6,11.5,12.6,0.910,1.63,2.500
WT10.5X91,91.0,26.8,11.4,12.5,0.830,1.48,2.375
WT10.5X83,83.0,24.4,11.2,12.4,0.750,1.36,2.250
WT10.5X73.5,73.5,21.6,11.0,12.5,0.720,1.15,2.000
WT10.5X66,66.0,19.4,10.9,12.4,0.650,1.04,1.9375
WT10.5X61,61.0,17.9,10.8,12.4,0.600,0.960,1.8125
WT10.5X55.5,55.5,16.3,10.8,12.3,0.550,0.875,1.750
WT10.5X50.5,50.5,14.9,10.7,12.3,0.500,0.800,1.6875
WT10.5X46.5,46.5,13.7,10.8,8.42,0.580,0.930,1.625
WT10.5X41.5,41.5,12.2,10.7,8.36,0.515,0.835,1.500
WT10.5X36.5,36.5,10.7,10.6,8.30,0.455,0.740,1.4375
WT10.5X34,34.0,10.0,10.6,8.27,0.430,0.685,1.375
WT10.5X31,31.0,9.13,10.5,8.24,0.400,0.615,1.3125
WT10.5X27.5,27.5,8.10,10.4,8.22,0.375,0.522,1.1875
WT10.5X24,24.0,7.07,10.3,8.14,0.350,0.430,1.125
WT10.5X28.5,28.5,8.37,10.5,6.56,0.405,0.650,1.3125
WT10.5X25,25.0,7.36,10.4,6.53,0.380,0.535,1.250
WT10.5X22,22.0,6.49,10.3,6.50,0.350,0.450,1.125
WT9X155.5,156,45.8,11.2,12.0,1.52,2.74,3.4375
WT9X141.5,142,41.6,10.9,11.9,1.40,2.50,3.1875
WT9X129,129,37.9,10.7,11.8,1.28,2.30,3.000
WT9X117,117,34.4,10.5,11.7,1.16,2.11,2.750
WT9X105.5,106,31.1,10.3,11.6,1.06,1.91,2.5625
WT9X96,97.0,28.2,10.2,11.5,0.960,1.75,2.4375
WT9X87.5,87.5,25.7,10.0,11.4,0.890,1.59,2.4375
WT9X79,79.0,23.2,9.86,11.3,0.810,1.44,2.375
WT9X71.5,71.5,21.0,9.75,11.2,0.730,1.32,2.1875
WT9X65,65.0,19.1,9.63,11.2,0.670,1.20,2.0625
WT9X59.5,59.5,17.5,9.49,11.3,0.655,1.06,1.9375
WT9X53,53.0,15.6,9.37,11.2,0.590,0.940,1.8125
WT9X48.5,48.5,14.3,9.30,11.1,0.535,0.870,1.75
WT9X43,43.0,12.7,9.20,11.1,0.480,0.770,1.625
WT9X38,38.0,11.2,9.11,11.0,0.425,0.680,1.5625
WT9X35.5,35.5,10.4,9.24,7.64,0.495,0.810,1.500
WT9X32.5,32.5,9.55,9.18,7.59,0.450,0.750,1.4375
WT9X30,30.0,8.82,9.12,7.56,0.415,0.695,1.375
WT9X27.5,27.5,8.10,9.06,7.53,0.390,0.630,1.3125
WT9X25,25.0,7.33,9.00,7.50,0.355,0.570,1.250
WT9X23,23.0,6.77,9.03,6.06,0.360,0.605,1.250
WT9X20,20.0,5.88,8.95,6.02,0.315,0.525,1.1875
WT9X17.5,17.5,5.15,8.85,6.00,0.300,0.425,1.125
WT8X50,50.0,14.7,8.49,10.4,0.585,0.985,1.875
WT8X44.5,44.5,13.1,8.38,10.4,0.525,0.875,1.75
WT8X38.5,38.5,11.3,8.26,10.3,0.455,0.760,1.625
WT8X33.5,33.5,9.84,8.17,10.2,0.395,0.665,1.5625
WT8X28.5,28.5,8.39,8.22,7.12,0.430,0.715,1.375
WT8X25,25.0,7.37,8.13,7.07,0.380,0.630,1.3125
WT8X22.5,22.5,6.63,8.07,7.04,0.345,0.565,1.25
WT8X20,20.0,5.89,8.01,7.00,0.305,0.505,1.1875
WT8X18,18.0,5.29,7.93,6.99,0.295,0.430,1.125
WT8X15.5,15.5,4.56,7.94,5.53,0.275,0.440,1.125
WT8X13,13.0,3.84,7.85,5.50,0.250,0.345,1.0625
WT7X404 - Obsolete,404.0,119.00,11.40,18.60,3.74,5.12,6.438
WT7X365,365,107,11.2,17.9,3.07,4.91,6.1875
WT7X332.5,332,97.8,10.8,17.7,2.83,4.52,5.8125
WT7X302.5,302,88.9,10.5,17.4,2.60,4.16,5.4375
WT7X275,275,80.9,10.1,17.2,2.38,3.82,5.125
WT7X250,250,73.5,9.80,17.0,2.19,3.50,4.8125
WT7X227.5,228,66.9,9.51,16.8,2.02,3.21,4.500
WT7X213,213,62.6,9.34,16.7,1.88,3.04,4.3125
WT7X199,199,58.5,9.15,16.6,1.77,2.85,4.125
WT7X185,185,54.4,8.96,16.5,1.66,2.66,3.9375
WT7X171,171,50.3,8.77,16.4,1.54,2.47,3.750
WT7X155.5,156,45.7,8.56,16.2,1.41,2.26,3.5625
WT7X141.5,142,41.6,8.37,16.1,1.29,2.07,3.375
WT7X128.5,128,37.8,8.19,16.0,1.18,1.89,3.1875
WT7X116.5,116,34.2,8.02,15.9,1.07,1.72,3.000
WT7X105.5,106,31.0,7.86,15.8,0.980,1.56,2.875
WT7X96.5,96.5,28.4,7.74,15.7,0.890,1.44,2.750
WT7X88,88.0,25.9,7.61,15.7,0.830,1.31,2.625
WT7X79.5,79.5,23.4,7.49,15.6,0.745,1.19,2.500
WT7X72.5,72.5,21.3,7.39,15.5,0.680,1.09,2.375
WT7X66,66.0,19.4,7.33,14.7,0.645,1.03,2.3125
WT7X60,60.0,17.7,7.24,14.7,0.590,0.940,2.250
WT7X54.5,54.5,16.0,7.16,14.6,0.525,0.860,2.1875
WT7X49.5,49.5,14.6,7.08,14.6,0.485,0.780,2.0625
WT7X45,45.0,13.2,7.01,14.5,0.440,0.710,2.000
WT7X41,41.0,12.0,7.16,10.1,0.510,0.855,1.6875
WT7X37,37.0,10.9,7.09,10.1,0.450,0.785,1.625
WT7X34,34.0,10.0,7.02,10.0,0.415,0.720,1.5625
WT7X30.5,30.5,8.96,6.95,10.0,0.375,0.645,1.500
WT7X26.5,26.5,7.80,6.96,8.06,0.370,0.660,1.500
WT7X24,24.0,7.07,6.90,8.03,0.340,0.595,1.4375
WT7X21.5,21.5,6.31,6.83,8.00,0.305,0.530,1.375
WT7X19,19.0,5.58,7.05,6.77,0.310,0.515,1.250
WT7X17,17.0,5.00,6.99,6.75,0.285,0.455,1.1875
WT7X15,15.0,4.42,6.92,6.73,0.270,0.385,1.125
WT7X13,13.0,3.85,6.96,5.03,0.255,0.420,1.125
WT7X11,11.0,3.25,6.87,5.00,0.230,0.335,1.0625
WT6X168,168,49.4,8.41,13.4,1.78,2.96,3.875
WT6X152.5,152,44.8,8.16,13.2,1.63,2.71,3.625
WT6X139.5,140,41.0,7.93,13.1,1.53,2.47,3.375
WT6X126,126,37.0,7.71,13.0,1.40,2.25,3.125
WT6X115,115,33.9,7.53,12.9,1.29,2.07,2.9375
WT6X105,105,30.9,7.36,12.8,1.18,1.90,2.8125
WT6X95,95.0,27.9,7.19,12.7,1.06,1.74,2.625
WT6X85,85.0,25.0,7.02,12.6,0.960,1.56,2.4375
WT6X76,76.0,22.4,6.86,12.5,0.870,1.40,2.3125
WT6X68,68.0,20.0,6.71,12.4,0.790,1.25,2.125
WT6X60,60.0,17.6,6.56,12.3,0.710,1.11,2.000
WT6X53,53.0,15.6,6.45,12.2,0.610,0.990,1.875
WT6X48,48.0,14.1,6.36,12.2,0.550,0.900,1.8125
WT6X43.5,43.5,12.8,6.27,12.1,0.515,0.810,1.6875
WT6X39.5,39.5,11.6,6.19,12.1,0.470,0.735,1.625
WT6X36,36.0,10.6,6.13,12.0,0.430,0.670,1.5625
WT6X32.5,32.5,9.54,6.06,12.0,0.390,0.605,1.500
WT6X29,29.0,8.52,6.10,10.0,0.360,0.640,1.500
WT6X26.5,26.5,7.78,6.03,10.0,0.345,0.575,1.375
WT6X25,25.0,7.30,6.10,8.08,0.370,0.640,1.500
WT6X22.5,22.5,6.56,6.03,8.05,0.335,0.575,1.375
WT6X20,20.0,5.84,5.97,8.01,0.295,0.515,1.375
WT6X17.5,17.5,5.17,6.25,6.56,0.300,0.520,1.1875
WT6X15,15.0,4.40,6.17,6.52,0.260,0.440,1.125
