,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##INCHES,Section Name Key##other##
WT18X220.5,17,19.4,2.44,1.36,0.95,14.71,64.9,220.5,1980,997,134,117,242,184,96.6,914,7.5,WT18X220.5
WT18X197.5,16.8,19.2,2.2,1.22,0.95,14.67,58.1,197.5,1740,877,119,104,213,162,70.7,652,7.5,WT18X197.5
WT18X180.5,16.7,19,2.01,1.12,0.95,14.58,53,180.5,1570,786,107,94,192,146,54.1,491,7.5,WT18X180.5
WT18X165,16.6,18.8,1.85,1.02,0.95,14.5,48.4,165,1410,711,97,85.5,173,132,42,372,7.5,WT18X165
WT18X151,16.7,18.7,1.68,0.945,0.95,14.48,44.5,151,1280,648,88.8,77.8,158,120,32.1,285,7.5,WT18X151
WT18X141,16.6,18.6,1.57,0.885,0.95,14.44,41.5,141,1190,599,82.6,72.2,146,112,26.3,231,7.5,WT18X141
WT18X131,16.6,18.4,1.44,0.84,0.95,14.26,38.5,131,1110,545,77.5,65.8,137,102,20.8,185,7.5,WT18X131
WT18X123.5,16.5,18.3,1.35,0.8,0.95,14.18,36.3,123.5,1040,507,73.3,61.4,129,94.8,17.3,155,7.5,WT18X123.5
WT18X115.5,16.5,18.2,1.26,0.76,0.95,14.1,34.1,115.5,978,470,69.1,57,122,88,14.3,129,7.5,WT18X115.5
WT18X128,12.2,18.7,1.73,0.96,0.75,13.78,37.6,128,1210,264,87.4,43.2,156,68.5,26.4,205,5.5,WT18X128
WT18X116,12.1,18.6,1.57,0.87,0.75,13.78,34,116,1080,234,78.5,38.6,140,60.9,19.7,151,5.5,WT18X116
WT18X105,12.2,18.3,1.36,0.83,0.75,13.43,30.9,105,985,206,73.1,33.8,131,53.4,13.9,119,5.5,WT18X105
WT18X97,12.1,18.2,1.26,0.765,0.75,13.4,28.5,97,901,187,67,30.9,120,48.8,11.1,92.7,5.5,WT18X97
WT18X91,12.1,18.2,1.18,0.725,0.75,13.43,26.8,91,845,174,63.1,28.8,113,45.3,9.2,77.6,5.5,WT18X91
WT18X85,12,18.1,1.1,0.68,0.75,13.37,25,85,786,160,58.9,26.6,105,41.8,7.51,63.2,5.5,WT18X85
WT18X80,12,18,1.02,0.65,0.75,13.26,23.5,80,740,147,55.8,24.6,100,38.6,6.17,53.6,5.5,WT18X80
WT18X75,12,17.9,0.94,0.625,0.75,13.12,22.1,75,698,135,53.1,22.5,95.5,35.4,5.04,46,5.5,WT18X75
WT18X67.5,12,17.8,0.79,0.6,0.75,12.84,19.9,67.5,637,113,49.7,18.9,90.1,29.8,3.48,37.3,5.5,WT18X67.5
WT16.5X193.5,16.2,18,2.28,1.26,0.79,13.73,57,193.5,1460,810,107,100,193,156,73.9,615,5.5,WT16.5X193.5
WT16.5X177,16.1,17.8,2.09,1.16,0.79,13.65,52.1,177,1320,729,96.8,90.6,174,141,57.1,468,5.5,WT16.5X177
WT16.5X159,16,17.6,1.89,1.04,0.79,13.58,46.8,159,1160,645,85.8,80.7,154,125,42.1,335,5.5,WT16.5X159
WT16.5X145.5,15.9,17.4,1.73,0.96,0.79,13.47,42.8,145.5,1060,581,78.3,73.1,140,113,32.5,256,5.5,WT16.5X145.5
WT16.5X131.5,15.8,17.3,1.57,0.87,0.79,13.47,38.7,131.5,943,517,70.2,65.5,125,101,24.3,188,5.5,WT16.5X131.5
WT16.5X120.5,15.9,17.1,1.4,0.83,0.79,13.26,35.6,120.5,872,466,65.8,58.8,116,90.8,18,146,5.5,WT16.5X120.5
WT16.5X110.5,15.8,17,1.28,0.775,0.78,13.19,32.6,110.5,799,420,60.8,53.2,107,82.1,13.9,113,5.5,WT16.5X110.5
WT16.5X100.5,15.7,16.8,1.15,0.715,0.79,13.03,29.7,100.5,725,375,55.5,47.6,97.8,73.3,10.4,84.9,5.5,WT16.5X100.5
WT16.5X84.5,11.5,16.9,1.22,0.67,0.7,12.69,24.7,84.5,649,155,51.1,27,90.8,42.1,8.81,55.4,5.5,WT16.5X84.5
WT16.5X76,11.6,16.7,1.06,0.635,0.7,12.44,22.5,76,592,136,47.4,23.6,84.5,36.9,6.16,43,5.5,WT16.5X76
WT16.5X70.5,11.5,16.7,0.96,0.605,0.7,12.41,20.7,70.5,552,123,44.7,21.3,79.8,33.4,4.84,35.4,5.5,WT16.5X70.5
WT16.5X65,11.5,16.5,0.855,0.58,0.705,12.14,19.1,65,513,109,42.1,18.9,75.6,29.7,3.67,29.3,5.5,WT16.5X65
WT16.5X59,11.5,16.4,0.74,0.55,0.7,11.93,17.4,59,469,93.5,39.2,16.3,70.8,25.6,2.64,23.4,5.5,WT16.5X59
WT15X195.5,15.6,16.6,2.44,1.36,0.79,12.6,57.6,195.5,1220,774,96.9,99.2,177,155,86.3,636,5.5,WT15X195.5
WT15X178.5,15.5,16.4,2.24,1.24,0.79,12.53,52.5,178.5,1090,693,87.2,89.6,159,140,66.6,478,5.5,WT15X178.5
