,Diameter##SECTION_PROPERTY##INCHES,Perimeter##Surface_Area##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
RB 3 13/16,3.8125,11.971,11.41,10.371,10.371,5.44,5.44,9.236,9.236,RB 3 13/16
RB 3 15/16,3.9375,12.364,12.171,11.799,11.799,5.993,5.993,10.174,10.174,RB 3 15/16
RB 3 3/16,3.1875,10.009,7.976,5.067,5.067,3.179,3.179,5.398,5.398,RB 3 3/16
RB 3 3/4,3.75,11.775,11.039,9.707,9.707,5.177,5.177,8.789,8.789,RB 3 3/4
RB 3 3/8,3.375,10.598,8.942,6.369,6.369,3.774,3.774,6.407,6.407,RB 3 3/8
RB 3 5/16,3.3125,10.401,8.614,5.91,5.91,3.568,3.568,6.058,6.058,RB 3 5/16
RB 3 5/8,3.625,11.383,10.315,8.476,8.476,4.677,4.677,7.939,7.939,RB 3 5/8
RB 3 7/16,3.4375,10.794,9.276,6.854,6.854,3.988,3.988,6.77,6.77,RB 3 7/16
RB 3 7/8,3.875,12.168,11.787,11.068,11.068,5.712,5.712,9.698,9.698,RB 3 7/8
RB 3 9/16,3.5625,11.186,9.963,7.907,7.907,4.439,4.439,7.536,7.536,RB 3 9/16
RB 3/16,0.1875,0.589,0.028,0,0,0.001,0.001,0.001,0.001,RB 3/16
RB 3/4,0.75,2.355,0.442,0.016,0.016,0.041,0.041,0.07,0.07,RB 3/4
RB 3/8,0.375,1.178,0.11,0.001,0.001,0.005,0.005,0.009,0.009,RB 3/8
RB 4,4,12.56,12.56,12.566,12.566,6.283,6.283,10.667,10.667,RB 4
RB 4 1/16,4.0625,12.756,12.956,13.37,13.37,6.582,6.582,11.175,11.175,RB 4 1/16
RB 4 1/2,4.5,14.13,15.896,20.129,20.129,8.946,8.946,15.188,15.188,RB 4 1/2
