,Height##SECTION_PROPERTY##INCHES,Width##SECTION_PROPERTY##INCHES,Perimeter##Surface_Area##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
RV 7 5/16,7.3125,7.3125,29.25,53.473,238.277,238.277,65.17,65.17,97.755,97.755,RV 7 5/16
RV 7 5/8,7.625,7.625,30.5,58.141,281.694,281.694,73.887,73.887,110.831,110.831,RV 7 5/8
RV 7 7/16,7.4375,7.4375,29.75,55.316,254.992,254.992,68.569,68.569,102.854,102.854,RV 7 7/16
RV 7 7/8,7.875,7.875,31.5,62.016,320.495,320.495,81.395,81.395,122.093,122.093,RV 7 7/8
RV 7 9/16,7.5625,7.5625,30.25,57.191,272.571,272.571,72.085,72.085,108.127,108.127,RV 7 9/16
RV 7/16,0.4375,0.4375,1.75,0.191,0.003,0.003,0.014,0.014,0.021,0.021,RV 7/16
RV 7/8,0.875,0.875,3.5,0.766,0.049,0.049,0.112,0.112,0.168,0.168,RV 7/8
RV 8,8,8,32,64,341.333,341.333,85.333,85.333,128,128,RV 8
RV 8 1/16,8.0625,8.0625,32.25,65.004,352.126,352.126,87.349,87.349,131.023,131.023,RV 8 1/16
RV 8 1/2,8.5,8.5,34,72.25,435.005,435.005,102.354,102.354,153.531,153.531,RV 8 1/2
RV 8 1/4,8.25,8.25,33,68.063,386.042,386.042,93.586,93.586,140.379,140.379,RV 8 1/4
RV 8 1/8,8.125,8.125,32.5,66.016,363.172,363.172,89.396,89.396,134.094,134.094,RV 8 1/8
RV 8 11/16,8.6875,8.6875,34.75,75.473,474.677,474.677,109.278,109.278,163.917,163.917,RV 8 11/16
RV 8 13/16,8.8125,8.8125,35.25,77.66,502.592,502.592,114.063,114.063,171.095,171.095,RV 8 13/16
RV 8 15/16,8.9375,8.9375,35.75,79.879,531.72,531.72,118.986,118.986,178.479,178.479,RV 8 15/16
RV 8 3/16,8.1875,8.1875,32.75,67.035,374.476,374.476,91.475,91.475,137.213,137.213,RV 8 3/16
RV 8 3/4,8.75,8.75,35,76.563,488.485,488.485,111.654,111.654,167.48,167.48,RV 8 3/4
RV 8 3/8,8.325,8.325,33.3,69.306,409.976,409.976,97.905,97.905,146.857,146.857,RV 8 3/8
RV 8 5/16,8.3125,8.3125,33.25,69.098,397.874,397.874,95.729,95.729,143.594,143.594,RV 8 5/16
RV 8 5/8,8.625,8.625,34.5,74.391,461.164,461.164,106.937,106.937,160.405,160.405,RV 8 5/8
RV 8 7/16,8.4375,8.4375,33.75,71.191,422.351,422.351,100.113,100.113,150.169,150.169,RV 8 7/16
RV 8 7/8,8.875,8.875,35.5,78.766,517.002,517.002,116.508,116.508,174.761,174.761,RV 8 7/8
RV 8 9/16,8.5625,8.5625,34.25,73.316,447.941,447.941,104.629,104.629,156.943,156.943,RV 8 9/16
RV 9,9,9,36,81,546.75,546.75,121.5,121.5,182.25,182.25,RV 9
RV 9 1/16,9.0625,9.0625,36.25,82.129,562.096,562.096,124.049,124.049,186.073,186.073,RV 9 1/16
RV 9 1/2,9.5,9.5,38,90.25,678.755,678.755,142.896,142.896,214.344,214.344,RV 9 1/2
RV 9 1/4,9.25,9.25,37,85.563,610.078,610.078,131.909,131.909,197.863,197.863,RV 9 1/4
RV 9 1/8,9.125,9.125,36.5,83.266,577.764,577.764,126.633,126.633,189.95,189.95,RV 9 1/8
RV 9 11/16,9.6875,9.6875,38.75,93.848,733.949,733.949,151.525,151.525,227.287,227.287,RV 9 11/16
RV 9 13/16,9.8125,9.8125,39.25,96.285,772.569,772.569,157.466,157.466,236.2,236.2,RV 9 13/16
RV 9 15/16,9.9375,9.9375,39.75,98.754,812.694,812.694,163.561,163.561,245.342,245.342,RV 9 15/16
RV 9 3/16,9.1875,9.1875,36.75,84.41,593.756,593.756,129.253,129.253,193.88,193.88,RV 9 3/16
RV 9 3/4,9.75,9.75,39,95.063,753.073,753.073,154.477,154.477,231.715,231.715,RV 9 3/4
RV 9 3/8,9.375,9.375,37.5,87.891,643.73,643.73,137.329,137.329,205.994,205.994,RV 9 3/8
RV 9 5/16,9.3125,9.3125,37.25,86.723,626.735,626.735,134.601,134.601,201.901,201.901,RV 9 5/16
RV 9 5/8,9.625,9.625,38.5,92.641,715.19,715.19,148.611,148.611,222.917,222.917,RV 9 5/8
RV 9 7/16,9.4375,9.4375,37.75,89.066,661.069,661.069,140.094,140.094,210.141,210.141,RV 9 7/16
RV 9 7/8,9.875,9.875,39.5,97.516,792.441,792.441,160.494,160.494,240.742,240.742,RV 9 7/8
RV 9 9/16,9.5625,9.5625,38.25,91.441,696.794,696.794,145.735,145.735,218.602,218.602,RV 9 9/16
RV 9/16,0.5625,0.5625,2.25,0.316,0.008,0.008,0.03,0.03,0.044,0.044,RV 9/16
