,Laminations##other##,A##area##inches,Sx##other##,Ix##other##,Sy##other##,Iy##other##,d##length##inches,b##length##inches
8.5x37.125,27,315.6,1953,36244,447.0,1900,37.125,8.5
8.5x38.5,28,327.3,2100,40422,463.6,1970,38.5,8.5
8.5x39.875,29,338.9,2253,44910,480.2,2041,39.875,8.5
8.5x41.25,30,350.6,2411,49718,496.7,2111,41.25,8.5
8.5x42.625,31,362.3,2574,54857,513.3,2181,42.625,8.5
8.5x44,32,374.0,2743,60339,529.8,2252,44,8.5
8.5x45.375,33,385.7,2917,66174,546.4,2322,45.375,8.5
8.5x46.75,34,397.4,3096,72374,562.9,2393,46.75,8.5
8.5x48.125,35,409.1,3281,78950,579.5,2463,48.125,8.5
8.5x49.5,36,420.8,3471,85912,596.1,2533,49.5,8.5
8.5x50.875,37,432.4,3667,93272,612.6,2604,50.875,8.5
8.5x52.25,38,444.1,3868,101041,629.2,2674,52.25,8.5
8.5x53.625,39,455.8,4074,109229,645.7,2744,53.625,8.5
8.5x55,40,467.5,4285,117849,662.3,2815,55,8.5
8.5x56.375,41,479.2,4502,126910,678.8,2885,56.375,8.5
8.5x57.75,42,490.9,4725,136425,695.4,2955,57.75,8.5
8.5x59.125,43,502.6,4952,146403,712.0,3026,59.125,8.5
8.5x60.5,44,514.3,5185,156857,728.5,3096,60.5,8.5
8.5x61.875,45,525.9,5424,167797,745.1,3167,61.875,8.5
8.5x63.25,46,537.6,5667,179234,761.6,3237,63.25,8.5
10.5x9.625,7,101.1,162.1,780.2,176.9,928.5,9.625,10.5
10.5x11,8,115.5,211.8,1165,202.1,1061,11,10.5
10.5x12.375,9,129.9,268.0,1658,227.4,1194,12.375,10.5
10.5x13.75,10,144.4,330.9,2275,252.7,1326,13.75,10.5
10.5x15.125,11,158.8,400.3,3028,277.9,1459,15.125,10.5
10.5x16.5,12,173.3,476.4,3931,303.2,1592,16.5,10.5
10.5x17.875,13,187.7,559.2,4997,328.5,1724,17.875,10.5
10.5x19.25,14,202.1,648.5,6242,353.7,1857,19.25,10.5
10.5x20.625,15,216.6,744.4,7677,379.0,1990,20.625,10.5
10.5x22,16,231.0,847.0,9317,404.3,2122,22,10.5
10.5x23.375,17,245.4,956.2,11175,429.5,2255,23.375,10.5
10.5x24.75,18,259.9,1072,13266,454.8,2388,24.75,10.5
10.5x26.125,19,274.3,1194,15602,480.0,2520,26.125,10.5
10.5x27.5,20,288.8,1323,18197,505.3,2653,27.5,10.5
10.5x28.875,21,303.2,1459,21066,530.6,2786,28.875,10.5
10.5x30.25,22,317.6,1601,24221,555.8,2918,30.25,10.5
10.5x31.625,23,332.1,1750,27676,581.1,3051,31.625,10.5
10.5x33,24,346.5,1906,31445,606.4,3183,33,10.5
10.5x34.375,25,360.9,2068,35542,631.6,3316,34.375,10.5
10.5x35.75,26,375.4,2237,39979,656.9,3449,35.75,10.5
10.5x37.125,27,389.8,2412,44772,682.2,3581,37.125,10.5
10.5x38.5,28,404.3,2594,49933,707.4,3714,38.5,10.5
10.5x39.875,29,418.7,2783,55477,732.7,3847,39.875,10.5
10.5x41.25,30,433.1,2978,61416,758.0,3979,41.25,10.5
10.5x42.625,31,447.6,3180,67764,783.2,4112,42.625,10.5
10.5x44,32,462.0,3388,74536,808.5,4245,44,10.5
10.5x45.375,33,476.4,3603,81744,833.8,4377,45.375,10.5
10.5x46.75,34,490.9,3825,89403,859.0,4510,46.75,10.5
10.5x48.125,35,505.3,4053,97526,884.3,4643,48.125,10.5
10.5x49.5,36,519.8,4288,106126,909.6,4775,49.5,10.5
10.5x50.875,37,534.2,4529,115218,934.8,4908,50.875,10.5
10.5x52.25,38,548.6,4778,124815,960.1,5040,52.25,10.5
10.5x53.625,39,563.1,5032,134930,985.4,5173,53.625,10.5
10.5x55,40,577.5,5294,145578,1011,5306,55,10.5
10.5x56.375,41,591.9,5562,156772,1036,5438,56.375,10.5
10.5x57.75,42,606.4,5836,168525,1061,5571,57.75,10.5
10.5x59.125,43,620.8,6118,180851,1086,5704,59.125,10.5
10.5x60.5,44,635.3,6405,193764,1112,5836,60.5,10.5
10.5x61.875,45,649.7,6700,207278,1137,5969,61.875,10.5
10.5x63.25,46,664.1,7001,221406,1162,6102,63.25,10.5
10.5x64.625,47,678.6,7309,236162,1187,6234,64.625,10.5
10.5x66,48,693.0,7623,251559,1213,6367,66,10.5
10.5x67.375,49,707.4,7944,267611,1238,6500,67.375,10.5
10.5x68.75,50,721.9,8271,284332,1263,6632,68.75,10.5
10.5x70.125,51,736.3,8606,301736,1289,6765,70.125,10.5
10.5x71.5,52,750.8,8946,319835,1314,6898,71.5,10.5
10.5x72.875,53,765.2,9294,338644,1339,7030,72.875,10.5
10.5x74.25,54,779.6,9648,358177,1364,7163,74.25,10.5
10.5x75.625,55,794.1,10008,378446,1390,7295,75.625,10.5
10.5x77,56,808.5,10376,399466,1415,7428,77,10.5
