,W##other##,A##area##inches,OD##length##inches,t##length##inches
HSS5X0.312,15.6,4.3,5,0.291
HSS5X0.258,13.1,3.59,5,0.24
HSS5X0.250,12.7,3.49,5,0.233
HSS5X0.188,9.67,2.64,5,0.174
HSS5X0.125,6.51,1.78,5,0.116
HSS4.500X0.375,16.5,4.55,4.5,0.349
HSS4.500X0.337,15,4.12,4.5,0.313
HSS4.500X0.237,10.8,2.96,4.5,0.22
HSS4.500X0.188,8.67,2.36,4.5,0.174
HSS4.500X0.125,5.85,1.6,4.5,0.116
HSS4X0.337 - Obsolete,13.2,3.7,4,0.315
HSS4X0.313,12.3,3.39,4,0.291
HSS4X0.250,10,2.76,4,0.233
HSS4X0.237,9.53,2.61,4,0.22
HSS4X0.226,9.12,2.5,4,0.21
HSS4X0.220,8.89,2.44,4,0.205
HSS4X0.188,7.66,2.09,4,0.174
HSS4X0.125,5.18,1.42,4,0.116
HSS3.500X0.313,10.7,2.93,3.5,0.291
HSS3.500X0.300,10.3,2.82,3.5,0.279
HSS3.500X0.250,8.69,2.39,3.5,0.233
HSS3.500X0.216,7.58,2.08,3.5,0.201
HSS3.500X0.203,7.15,1.97,3.5,0.189
HSS3.500X0.188,6.66,1.82,3.5,0.174
HSS3.500X0.125,4.51,1.23,3.5,0.116
HSS3X0.300 - Obsolete,8.7,2.4,3,0.28
HSS3X0.250,7.35,2.03,3,0.233
HSS3X0.216,6.43,1.77,3,0.201
HSS3X0.203,6.07,1.67,3,0.189
HSS3X0.188,5.65,1.54,3,0.174
HSS3X0.152,4.63,1.27,3,0.141
HSS3X0.134,4.11,1.12,3,0.124
HSS3X0.125,3.84,1.05,3,0.116
HSS2.875X0.250,7.02,1.93,2.875,0.233
HSS2.875X0.203,5.8,1.59,2.875,0.189
HSS2.875X0.188,5.4,1.48,2.875,0.174
HSS2.875X0.125,3.67,1.01,2.875,0.116
HSS2.500X0.250,6.01,1.66,2.5,0.233
HSS2.500X0.188,4.65,1.27,2.5,0.174
HSS2.500X0.125,3.17,0.869,2.5,0.116
HSS2.375X0.250,5.68,1.57,2.375,0.233
HSS2.375X0.218,5.03,1.39,2.375,0.203
HSS2.375X0.188,4.4,1.2,2.375,0.174
HSS2.375X0.154,3.66,1,2.375,0.143
HSS2.375X0.125,3.01,0.823,2.375,0.116
HSS1.900X0.188,3.44,0.943,1.9,0.174
HSS1.900X0.145,2.72,0.749,1.9,0.135
HSS1.900X0.120,2.28,0.624,1.9,0.111
HSS1.660X0.140,2.27,0.625,1.66,0.13
