,Width##length##inches,Height##length##inches
34"" x 41"",34,41
34"" x 48"",34,48
34"" x 53"",34,53
34"" x 60"",34,60
34"" x 65"",34,65
41"" x 41"",41,41
41"" x 48"",41,48
41"" x 53"",41,53
41"" x 60"",41,60
41"" x 65"",41,65
48"" x 41"",48,41
48"" x 48"",48,48
48"" x 53"",48,53
48"" x 60"",48,60
48"" x 65"",48,65
57"" x 41"",57,41
57"" x 48"",57,48
57"" x 53"",57,53
57"" x 60"",57,60
57"" x 65"",57,65
57"" x 72"",57,72
