,Width##length##inches,Height##length##inches
61"" x 36"",61,36
61"" x 41"",61,41
61"" x 48"",61,48
61"" x 53"",61,53
61"" x 60"",61,60
72"" x 36"",72,36
72"" x 41"",72,41
72"" x 48"",72,48
72"" x 53"",72,53
72"" x 60"",72,60
85"" x 36"",85,36
85"" x 41"",85,41
85"" x 48"",85,48
85"" x 53"",85,53
85"" x 60"",85,60
