,Width##length##inches,Height##length##inches
48"" x 17"",48,17
56"" x 17"",56,17
63"" x 17"",63,17
72"" x 17"",72,17
48"" x 20"",48,20
56"" x 20"",56,20
63"" x 20"",63,20
72"" x 20"",72,20
48"" x 24"",48,24
56"" x 24"",56,24
63"" x 24"",63,24
72"" x 24"",72,24
48"" x 28"",48,28
56"" x 28"",56,28
63"" x 28"",63,28
72"" x 28"",72,28
56"" x 32"",56,32
63"" x 32"",63,32
72"" x 32"",72,32
63"" x 36"",63,36
72"" x 36"",72,36


