,Width##length##inches,Height##length##inches
36"" x 24"",36,24
48"" x 24"",48,24
36"" x 36"",36,36
48"" x 36"",48,36
60"" x 36"",60,36
72"" x 36"",72,36
36"" x 42"",36,42
48"" x 42"",48,42
60"" x 42"",60,42
72"" x 42"",72,42
36"" x 48"",36,48
48"" x 48"",48,48
60"" x 48"",60,48
72"" x 48"",72,48
36"" x 60"",36,60
48"" x 60"",48,60
60"" x 60"",60,60
72"" x 60"",72,60


