,Length##LENGTH##INCHES,Width##LENGTH##INCHES,Suction Nominal Radius##PIPE_SIZE##INCHES,Suction Y Offset##LENGTH##INCHES,Suction Z Offset##LENGTH##INCHES,Discharge Z Offset##LENGTH##INCHES,Frame Width##LENGTH##INCHES
97 GPM ,39.44,8,1.25,30.24,9.08,4.48,5.6
162 GPM ,44.08,8,1.5,35.28,9.28,4.48,5.6
250 GPM ,50.88,10,2,41.44,10.2,5,6.4
348 GPM ,59.12,12,2.25,47.92,12.4,6,7.2
427 GPM,66.16,12,2.25,54.96,12.4,6,7.2
550 GPM,74.24,12,3,61.64,13.8,6.4,8
726 GPM,80.28,12,3,67.68,13.8,6.4,8
990 GPM,97.48,13.6,4,80.36,18,9,11.6
