,Laminations##other##,A##area##inches,Sx##other##,Ix##other##,Sy##other##,Iy##other##,d##length##inches,b##length##inches
8.75x25.5,17,223.1,948.3,12091,325.4,1424,25.5,8.75
8.75x27,18,236.3,1063,14352,344.5,1507,27,8.75
8.75x28.5,19,249.4,1185,16880,363.7,1591,28.5,8.75
8.75x30,20,262.5,1313,19688,382.8,1675,30,8.75
8.75x31.5,21,275.6,1447,22791,402.0,1759,31.5,8.75
8.75x33,22,288.8,1588,26204,421.1,1842,33,8.75
8.75x34.5,23,301.9,1736,29942,440.2,1926,34.5,8.75
8.75x36,24,315.0,1890,34020,459.4,2010,36,8.75
8.75x37.5,25,328.1,2051,38452,478.5,2094,37.5,8.75
8.75x39,26,341.3,2218,43253,497.7,2177,39,8.75
8.75x40.5,27,354.4,2392,48439,516.8,2261,40.5,8.75
8.75x42,28,367.5,2573,54023,535.9,2345,42,8.75
8.75x43.5,29,380.6,2760,60020,555.1,2428,43.5,8.75
8.75x45,30,393.8,2953,66445,574.2,2512,45,8.75
8.75x46.5,31,406.9,3153,73314,593.4,2596,46.5,8.75
8.75x48,32,420.0,3360,80640,612.5,2680,48,8.75
8.75x49.5,33,433.1,3573,88439,631.6,2763,49.5,8.75
8.75x51,34,446.3,3793,96725,650.8,2847,51,8.75
8.75x52.5,35,459.4,4020,105513,669.9,2931,52.5,8.75
8.75x54,36,472.5,4253,114818,689.1,3015,54,8.75
8.75x55.5,37,485.6,4492,124654,708.2,3098,55.5,8.75
8.75x57,38,498.8,4738,135037,727.3,3182,57,8.75
8.75x58.5,39,511.9,4991,145980,746.5,3266,58.5,8.75
8.75x60,40,525.0,5250,157500,765.6,3350,60,8.75
8.75x61.5,41,538.1,5516,169610,784.8,3433,61.5,8.75
8.75x63,42,551.3,5788,182326,803.9,3517,63,8.75
10.75x10.5,7,112.9,197.5,1037,202.2,1087,10.5,10.75
10.75x12,8,129.0,258.0,1548,231.1,1242,12,10.75
10.75x13.5,9,145.1,326.5,2204,260.0,1398,13.5,10.75
10.75x15,10,161.3,403.1,3023,288.9,1553,15,10.75
10.75x16.5,11,177.4,487.8,4024,317.8,1708,16.5,10.75
10.75x18,12,193.5,580.5,5225,346.7,1863,18,10.75
10.75x19.5,13,209.6,681.3,6642,375.6,2019,19.5,10.75
10.75x21,14,225.8,790.1,8296,404.5,2174,21,10.75
10.75x22.5,15,241.9,907.0,10204,433.4,2329,22.5,10.75
10.75x24,16,258.0,1032,12384,462.3,2485,24,10.75
10.75x25.5,17,274.1,1165,14854,491.1,2640,25.5,10.75
10.75x27,18,290.3,1306,17633,520.0,2795,27,10.75
10.75x28.5,19,306.4,1455,20738,548.9,2950,28.5,10.75
10.75x30,20,322.5,1613,24188,577.8,3106,30,10.75
10.75x31.5,21,338.6,1778,28000,606.7,3261,31.5,10.75
10.75x33,22,354.8,1951,32194,635.6,3416,33,10.75
10.75x34.5,23,370.9,2133,36786,664.5,3572,34.5,10.75
10.75x36,24,387.0,2322,41796,693.4,3727,36,10.75
10.75x37.5,25,403.1,2520,47241,722.3,3882,37.5,10.75
10.75x39,26,419.3,2725,53140,751.2,4037,39,10.75
10.75x40.5,27,435.4,2939,59510,780.0,4193,40.5,10.75
10.75x42,28,451.5,3161,66371,808.9,4348,42,10.75
10.75x43.5,29,467.6,3390,73739,837.8,4503,43.5,10.75
10.75x45,30,483.8,3628,81633,866.7,4659,45,10.75
10.75x46.5,31,499.9,3874,90071,895.6,4814,46.5,10.75
10.75x48,32,516.0,4128,99072,924.5,4969,48,10.75
10.75x49.5,33,532.1,4390,108653,953.4,5124,49.5,10.75
10.75x51,34,548.3,4660,118833,982.3,5280,51,10.75
10.75x52.5,35,564.4,4938,129630,1011,5435,52.5,10.75
10.75x54,36,580.5,5225,141062,1040,5590,54,10.75
10.75x55.5,37,596.6,5519,153146,1069,5746,55.5,10.75
10.75x57,38,612.8,5821,165902,1098,5901,57,10.75
10.75x58.5,39,628.9,6132,179347,1127,6056,58.5,10.75
10.75x60,40,645.0,6450,193500,1156,6211,60,10.75
10.75x61.5,41,661.1,6777,208378,1185,6367,61.5,10.75
10.75x63,42,677.3,7111,224000,1213,6522,63,10.75
10.75x64.5,43,693.4,7454,240384,1242,6677,64.5,10.75
10.75x66,44,709.5,7805,257549,1271,6833,66,10.75
10.75x67.5,45,725.6,8163,275511,1300,6988,67.5,10.75
10.75x69,46,741.8,8530,294289,1329,7143,69,10.75
10.75x70.5,47,757.9,8905,313902,1358,7298,70.5,10.75
10.75x72,48,774.0,9288,334368,1387,7454,72,10.75
10.75x73.5,49,790.1,9679,355704,1416,7609,73.5,10.75
10.75x75,50,806.3,10078,377930,1445,7764,75,10.75
10.75x76.5,51,822.4,10485,401062,1473,7920,76.5,10.75
10.75x78,52,838.5,10901,425120,1502,8075,78,10.75
10.75x79.5,53,854.6,11324,450120,1531,8230,79.5,10.75
10.75x81,54,870.8,11755,476083,1560,8386,81,10.75
