,Width##length##inches,Height##length##inches
36"" x 80"",36,80
36"" x 84"",36,84
36"" x 86"",36,86
36"" x 94"",36,94
36"" x 96"",36,96
42"" x 80"",42,80
42"" x 84"",42,84
42"" x 86"",42,86
42"" x 94"",42,94
42"" x 96"",42,96
48"" x 80"",48,80
48"" x 84"",48,84
48"" x 86"",48,86
48"" x 94"",48,94
48"" x 96"",48,96
