,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Flange Fillet##SECTION_PROPERTY##INCHES,Top Web Fillet##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Horizontal##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Principal Axes Angle##ANGLE##DEGREES,Bolt Spacing Shorter Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##INCHES,Section Name Key##other##
L4X3X1/2,3,4,0.5,0.5,0.25,0.25,0.5,0.822,1.32,3.25,11.1,5.02,2.4,1.87,1.1,3.36,1.99,0.281,0.255,28.45769275,1.75,0,0,L4X3X1/2
L4X3X3/8,3,4,0.375,0.375,0.1875,0.1875,0.375,0.775,1.27,2.49,8.5,3.94,1.89,1.44,0.851,2.6,1.52,0.123,0.114,28.85476425,1.75,0,0,L4X3X3/8
L4X3X5/16,3,4,0.313,0.313,0.1565,0.1565,0.313,0.75,1.25,2.09,7.2,3.36,1.62,1.22,0.721,2.19,1.28,0.0731,0.0676,28.98645281,1.75,0,0,L4X3X5/16
L4X3X1/4,3,4,0.25,0.25,0.125,0.125,0.25,0.725,1.22,1.69,5.8,2.75,1.33,0.988,0.585,1.77,1.03,0.0386,0.0356,29.1615172,1.75,0,0,L4X3X1/4
L3-1/2X3X1/2,3,3.5,0.5,0.5,0.25,0.25,0.5,0.869,1.12,3.02,10.2,3.45,2.32,1.45,1.09,2.61,1.97,0.26,0.191,35.48886929,1.75,0,0,L3 1/2X3X1/2
L3-1/2X3X7/16,3,3.5,0.438,0.438,0.219,0.219,0.438,0.846,1.09,2.67,9.1,3.1,2.09,1.29,0.971,2.32,1.75,0.178,0.132,35.6405232,1.75,0,0,L3 1/2X3X7/16
L3-1/2X3X3/8,3,3.5,0.375,0.375,0.1875,0.1875,0.375,0.823,1.07,2.32,7.9,2.73,1.84,1.12,0.847,2.03,1.52,0.114,0.0858,35.75388726,1.75,0,0,L3 1/2X3X3/8
L3-1/2X3X5/16,3,3.5,0.313,0.313,0.1565,0.1565,0.313,0.798,1.05,1.95,6.6,2.33,1.58,0.951,0.718,1.72,1.28,0.068,0.0512,35.82928432,1.75,0,0,L3 1/2X3X5/16
L3-1/2X3X1/4,3,3.5,0.25,0.25,0.125,0.125,0.25,0.773,1.02,1.58,5.4,1.92,1.3,0.773,0.585,1.39,1.04,0.036,0.027,35.94211186,1.75,0,0,L3 1/2X3X1/4
L3-1/2X2-1/2X1/2,2.5,3.5,0.5,0.5,0.25,0.25,0.5,0.701,1.2,2.77,9.4,3.24,1.36,1.41,0.756,2.52,1.39,0.234,0.159,25.87338524,1.375,0,0,L3 1/2X2 1/2X1/2
L3-1/2X2-1/2X3/8,2.5,3.5,0.375,0.375,0.1875,0.1875,0.375,0.655,1.15,2.12,7.2,2.56,1.09,1.09,0.589,1.96,1.07,0.103,0.0714,26.33540998,1.375,0,0,L3 1/2X2 1/2X3/8
L3-1/2X2-1/2X5/16,2.5,3.5,0.313,0.313,0.1565,0.1565,0.313,0.632,1.13,1.79,6.1,2.2,0.937,0.925,0.501,1.67,0.9,0.0611,0.0426,26.56505118,1.375,0,0,L3 1/2X2 1/2X5/16
L3-1/2X2-1/2X1/4,2.5,3.5,0.25,0.25,0.125,0.125,0.25,0.607,1.1,1.45,4.9,1.81,0.775,0.753,0.41,1.36,0.728,0.0322,0.0225,26.74810415,1.375,0,0,L3 1/2X2 1/2X1/4
L3X2-1/2X1/2,2.5,3,0.5,0.5,0.25,0.25,0.5,0.746,0.995,2.5,8.5,2.07,1.29,1.03,0.736,1.86,1.34,0.213,0.112,33.66361518,1.375,0,0,L3X2 1/2X1/2
